FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2016-02-29,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,,352.6,,,,9.3,,,1,40.00000000000007,0.0,False,,9.3,-1.2,-1.2,,-0.28,-0.28,,313.0,,,-1.0,-1,3.98,3.98,3.7,,,,95.1,1,0
2016-03-01,39.89999999999998,418.0,0.8866666666666662,-0.4749999999999996,-0.0105555555555555,11.125,10.65,0.4749999999999996,4,0.0,4.999999999999929,True,45.0,15.699999999999989,433.7,0.523333333333333,-1.1500000000000004,-0.0383333333333333,10.65,9.5,1.1500000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,-132.39999999999998,460.4,-2.9422222222222216,-4.8,-0.1066666666666666,9.5,4.7,4.8,4,-4.999999999999929,0.0,True,45.0,9.488888888888887,-2.475,-5.4,0.6300000000000001,-0.285,1.67,-0.368,376.75,2.362907813126304,-0.3,-2.0,-9,2.6125,2.99,5.475,18.5,27.0,111.0,95.1,4,6
2016-03-02,25.69999999999999,415.9,0.5711111111111109,-0.9000000000000004,-0.02,10.0,9.1,0.9000000000000004,4,0.0,4.999999999999929,True,45.0,-38.89999999999998,415.9,-1.296666666666666,-0.9000000000000004,-0.03,9.1,8.2,0.9000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,23.399999999999977,400.4,0.5199999999999995,-0.1999999999999993,-0.0044444444444444,8.2,8.0,0.1999999999999993,4,-4.999999999999929,0.0,True,45.0,8.783333333333333,-0.4499999999999999,-2.3,-1.06,-0.7625000000000001,0.05,0.4290000000000001,446.0,5.228129047119374,3.8,1.75,1,1.7049999999999998,1.8,4.0,6.5,10.0,39.0,96.5,4,6
2016-03-03,,,,,,,,,0,0.0,-25.00000000000007,False,,,,,,,,,,0,19.99999999999993,-4.999999999999929,False,,52.900000000000034,386.8,1.1755555555555564,0.6999999999999993,0.0155555555555555,11.3,9.5,1.8000000000000007,4,-4.999999999999929,0.0,True,45.0,10.671428571428573,-2.225,-3.4,-1.17,0.5449999999999999,1.11,0.544,418.0,7.52772652709081,-5.8,-2.75,-4,1.1125,1.3,1.075,8.0,13.0,48.0,97.1,4,6
2016-03-04,-18.80000000000001,353.8,-0.417777777777778,-0.8000000000000007,-0.0177777777777777,10.3,9.4,0.9000000000000004,4,0.0,4.999999999999929,True,45.0,2.5,348.1,0.0833333333333333,-0.5,-0.0166666666666666,9.5,9.0,0.5,3,4.999999999999929,-4.999999999999929,True,30.0,33.39999999999998,370.9,0.7422222222222217,0.0999999999999996,0.0022222222222222,9.3,9.0,0.3000000000000007,4,-4.999999999999929,0.0,True,45.0,9.433333333333334,1.4500000000000002,0.2,-0.74,-1.05,-0.3,0.3819999999999999,356.5,18.138357147217054,-13.8,-0.25,-1,1.1324999999999998,1.22,3.1000000000000005,3.0,3.0,18.0,98.9,4,6
2016-03-05,-16.900000000000034,357.8,-0.3755555555555563,-0.5999999999999996,-0.0133333333333333,11.35,10.6,0.75,4,0.0,4.999999999999929,True,45.0,38.700000000000045,391.8,1.2900000000000016,0.4000000000000003,0.0133333333333333,11.5,10.6,0.9000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,33.69999999999999,417.5,0.7488888888888886,-0.4000000000000003,-0.0088888888888888,11.2,9.5,1.6999999999999993,4,-4.999999999999929,0.0,True,45.0,10.905555555555557,3.975000000000001,3.1,0.7699999999999999,-1.84,-1.66,-0.1539999999999999,362.0,1.8257418583505536,1.2,5.25,2,3.16,3.67,3.225,1.5,3.0,9.0,94.7,4,6
2016-03-06,55.0,443.9,1.2222222222222223,-1.200000000000001,-0.0266666666666666,12.8,11.6,1.200000000000001,4,0.0,4.999999999999929,True,45.0,-2.3999999999999773,450.1,-0.0799999999999992,-2.4000000000000004,-0.08,11.6,9.2,2.4000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,40.10000000000002,481.6,0.8911111111111116,0.200000000000001,0.0044444444444444,10.8,9.2,1.6000000000000014,4,-4.999999999999929,0.0,True,45.0,10.922222222222224,0.5,-3.4,2.16,2.3025,4.13,-1.475,509.5,26.6520793435209,20.6,-91.5,-99,8.615,8.97,-9.55,61.5,63.0,369.0,94.1,4,6
2016-03-07,5.0,394.8,0.1111111111111111,-1.549999999999999,-0.0344444444444444,10.85,9.3,1.549999999999999,4,0.0,4.999999999999929,True,45.0,32.10000000000002,418.8,1.0700000000000007,-0.1000000000000014,-0.0033333333333333,9.4,9.2,0.200000000000001,3,4.999999999999929,-4.999999999999929,True,30.0,18.69999999999999,437.5,0.4155555555555553,-0.7999999999999989,-0.0177777777777777,9.2,8.4,0.7999999999999989,4,-4.999999999999929,0.0,True,45.0,9.416666666666666,-1.525,-1.7,-0.1299999999999999,1.7925,2.12,-0.209,511.75,13.32603967176045,-9.7,-48.5,-50,2.555,3.0,-4.1000000000000005,42.0,47.0,252.0,92.8,4,6
2016-03-08,9.099999999999966,353.9,0.2022222222222214,-0.2999999999999989,-0.0066666666666666,10.8,10.4,0.4000000000000003,4,0.0,4.999999999999929,True,45.0,-26.09999999999997,392.5,-0.8699999999999989,-1.4000000000000004,-0.0466666666666666,10.6,9.0,1.5999999999999996,3,4.999999999999929,-4.999999999999929,True,30.0,77.09999999999997,404.9,1.7133333333333325,0.4000000000000003,0.0088888888888888,9.4,9.0,0.4000000000000003,4,-4.999999999999929,0.0,True,45.0,10.011111111111113,0.725,-0.0,0.29,0.225,0.39,0.002,427.0,5.291502622129181,-2.0,-25.75,-27,1.47,1.83,-2.125,15.0,23.0,90.0,94.2,4,6
2016-03-09,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,46.19999999999999,386.7,1.0266666666666664,0.2999999999999989,0.0066666666666666,10.4,9.2,1.200000000000001,4,-4.999999999999929,0.0,True,45.0,9.675,-1.3,-2.0,0.5599999999999999,0.965,1.2,-0.1839999999999999,356.25,6.601767440112787,-5.1,-32.0,-34,1.1324999999999998,1.21,-3.0,15.0,17.0,90.0,96.0,4,6
