FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2015-12-31,,,,,,,,,0,,,False,,,390.1,,,,8.6,,,1,60.0,0.0,False,,8.6,-14.1,-14.1,,6.48,6.48,,463.0,,,-116.0,-116.0,0.88,0.88,-1.5,,,,95.1,1.0,0.0
2016-01-01,18.80000000000001,396.1,0.3133333333333335,-2.1500000000000004,-0.0358333333333333,11.9,9.75,2.1500000000000004,5,0.0,0.0,True,60.0,28.799999999999955,438.5,0.4799999999999992,-1.5500000000000007,-0.0258333333333333,9.75,8.2,1.5500000000000007,5,0.0,0.0,True,60.0,10.03888888888889,1.4500000000000002,0.1,0.62,-0.195,-0.04,-0.044,438.25,4.716990566028302,-2.7,-35.75,-39.0,2.225,3.21,-3.625,18.5,20.0,111.0,95.1,4.0,6.0
2016-01-02,19.5,402.9,0.325,-0.3499999999999996,-0.0058333333333333,10.95,10.45,0.5,5,0.0,0.0,True,60.0,21.200000000000045,424.1,0.3533333333333341,-0.8500000000000014,-0.0141666666666666,10.55,9.7,0.8500000000000014,5,0.0,0.0,True,60.0,10.433333333333334,0.575,-0.3,-0.79,-0.3725,-0.0,0.313,447.25,6.34428877022476,-4.7,-19.25,-21.0,2.5025000000000004,2.63,1.0,15.0,17.0,90.0,96.6,4.0,6.0
2016-01-03,28.69999999999999,368.5,0.4783333333333331,-0.4249999999999989,-0.0070833333333333,12.45,12.025,0.4249999999999989,5,0.0,0.0,True,60.0,34.80000000000001,403.3,0.5800000000000002,-0.9250000000000008,-0.0154166666666666,12.025,11.1,0.9250000000000008,5,0.0,0.0,True,60.0,11.905777777777775,-0.025,-1.1,0.3100000000000001,-0.17,0.28,-0.144,430.25,24.83780720326709,-16.7,-22.75,-25.0,1.1175000000000002,2.0,1.725,22.0,27.0,132.0,98.5,4.0,6.0
2016-01-04,6.0,380.5,0.1,-0.4000000000000003,-0.0066666666666666,9.6,9.1,0.5,13,0.0,0.0,True,60.0,37.89999999999998,406.2,0.6316666666666663,-0.2999999999999989,-0.0049999999999999,9.2,7.1,2.1,13,0.0,0.0,True,60.0,9.036,0.775,0.4,-0.0499999999999999,-0.4625,-0.37,-0.037,403.5,4.041451884327381,-2.8,-10.75,-12.0,1.8725,2.04,1.4500000000000002,12.0,17.0,72.0,92.2,4.0,6.0
2016-01-05,8.800000000000011,362.4,0.1466666666666668,-0.3000000000000007,-0.005,11.5,11.0,0.5,13,0.0,0.0,True,60.0,23.399999999999977,373.4,0.3899999999999996,-0.3000000000000007,-0.005,11.3,10.5,0.8000000000000007,13,0.0,0.0,True,60.0,11.106,0.6750000000000003,-8.6,-5.25,-1.5125000000000002,3.28,2.571,484.0,14.329456840136451,10.0,6.5,4.0,4.22,5.56,9.2,21.5,23.0,129.0,92.1,4.0,6.0
2016-01-06,11.300000000000011,362.8,0.1883333333333335,0.0,0.0,9.6,9.3,0.2999999999999989,13,0.0,0.0,True,60.0,44.39999999999998,415.2,0.7399999999999997,-0.200000000000001,-0.0033333333333333,9.4,8.5,0.9000000000000004,13,0.0,0.0,True,60.0,9.32,0.15,-1.4,-0.3399999999999999,-0.46,0.28,0.2039999999999999,553.5,3.696845502136472,1.2,-20.5,-25.0,2.8875,3.01,2.3,28.0,33.0,168.0,96.9,4.0,6.0
2016-01-07,6.399999999999977,393.2,0.1066666666666662,-0.0500000000000007,-0.0008333333333333,10.75,10.0,0.75,13,0.0,0.0,True,60.0,31.200000000000045,404.6,0.5200000000000008,0.1000000000000014,0.0016666666666666,11.1,9.4,1.6999999999999993,13,0.0,0.0,True,60.0,10.666,0.2249999999999999,-0.5,-0.0099999999999999,-0.52,-0.32,0.1359999999999999,546.5,10.754843869934453,-5.4,-16.5,-17.0,2.045,2.16,2.475,18.0,23.0,108.0,99.9,4.0,6.0
2016-01-08,30.100000000000023,415.6,0.501666666666667,0.0,0.0,8.95,8.625,0.3249999999999993,12,0.0,0.0,True,60.0,40.69999999999999,445.9,0.6783333333333331,-0.3499999999999996,-0.0058333333333333,9.1,8.6,0.5,13,0.0,0.0,True,60.0,8.859375,-0.425,-1.5,-0.53,-0.1825,0.28,0.275,470.5,11.210114480533491,-3.2,-14.25,-18.0,1.7875,1.95,2.6,13.0,13.0,78.0,104.9,4.0,6.0
2016-01-09,13.399999999999975,369.4,0.2233333333333329,-0.450000000000001,-0.0075,11.25,8.8,2.4499999999999997,13,0.0,0.0,True,60.0,8.800000000000011,381.3,0.1466666666666668,-1.299999999999999,-0.0216666666666666,10.7,8.6,2.1,13,0.0,0.0,True,60.0,10.222,-0.0999999999999998,-3.9,-2.12,-0.4725,1.77,1.205,451.25,9.105858919765158,-6.7,-1.5,-4.0,2.5575,2.93,3.575,11.5,13.0,69.0,103.5,4.0,6.0
