# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-28T08:07:15.959Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2016-01-01T00:00:00.000Z - 2016-03-02T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2016-01-01T00:00:00.000Z 100  8.600 //  277.0 //  390.1 // 130.6 //
2016-01-01T00:15:00.000Z 100  8.300 //  298.0 //  427.2 // 142.4 //
2016-01-01T00:30:00.000Z 100  7.900 //  323.0 //  445.9 // 134.3 //
2016-01-01T00:45:00.000Z 100  7.500 //  345.0 //  442.5 // 108.1 //
2016-01-01T01:00:00.000Z 100  7.200 //  358.0 //  460.2 // 115.9 //
2016-01-01T01:15:00.000Z 100  6.900 //  361.0 //  477.4 // 123.9 //
2016-01-01T01:30:00.000Z 100  6.600 //  411.0 //  492.5 // 113.7 //
2016-01-01T01:45:00.000Z 100  8.700 //  410.0 //  496.5 //  88.5 //
2016-01-01T02:00:00.000Z 100  8.800 //  421.0 //  504.6 //  96.1 //
2016-01-01T02:15:00.000Z 100  8.500 //  400.0 //  521.2 // 120.2 //
2016-01-01T02:30:00.000Z 100  8.400 //  405.0 //  495.9 // 102.3 //
2016-01-01T02:45:00.000Z   0  8.300 //  451.0 //    --- __   --- __
2016-01-01T03:00:00.000Z 100  8.100 //  345.0 //  427.6 //  90.6 //
2016-01-01T03:15:00.000Z 100  8.000 //  335.0 //  405.8 //  79.3 //
2016-01-01T03:30:00.000Z 100  7.700 //  325.0 //  414.1 //  82.2 //
2016-01-01T03:45:00.000Z 100  7.100 //  346.0 //  380.6 //  48.5 //
2016-01-01T04:00:00.000Z 100  7.300 //  356.0 //  405.2 //  64.5 //
2016-01-01T04:15:00.000Z 100  6.900 //  371.0 //  428.1 // 103.4 //
