FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros
2016-02-09,357.8,0.3550000000000002,42.60000000000002,11.698000000000002,-0.09999999999999964,-0.0008333333333333304,12.0,10.9,1.0999999999999996,25,0.0,0.0,True,2016-02-09 17:00:00,2016-02-09 19:00:00,120.0,25
2016-02-10,434.4,0.3325000000000003,39.900000000000034,11.193999999999999,-2.0,-0.016666666666666666,11.6,9.3,2.299999999999999,25,0.0,0.0,True,2016-02-10 17:00:00,2016-02-10 19:00:00,120.0,25
2016-02-11,,,,,,,,,,0,,,False,,,,0
2016-02-15,,,,,,,,,,0,15.0,-75.0,False,2016-02-15 17:15:00,2016-02-15 17:45:00,,3
2016-02-16,,,,,,,,,,0,60.0,0.0,False,2016-02-16 18:00:00,2016-02-16 19:00:00,,5
2016-02-17,415.6,0.4166666666666667,50.0,9.175,-0.3999999999999986,-0.0033333333333333214,9.3,8.8,0.5,8,0.0,0.0,True,2016-02-17 17:00:00,2016-02-17 19:00:00,120.0,8
2016-02-18,420.7,-0.1224999999999999,-14.699999999999989,8.6,-4.299999999999999,-0.03583333333333332,11.2,5.7,5.499999999999999,8,0.0,0.0,True,2016-02-18 17:00:00,2016-02-18 19:00:00,120.0,8
2016-02-19,426.0,0.7766666666666666,93.19999999999999,10.985714285714286,-3.1500000000000004,-0.026250000000000002,12.35,9.2,3.1500000000000004,7,0.0,0.0,True,2016-02-19 17:00:00,2016-02-19 19:00:00,120.0,7
2016-02-20,387.5,0.4074999999999998,48.89999999999998,11.2,-0.8499999999999996,-0.00708333333333333,11.55,10.6,0.9500000000000011,9,0.0,0.0,True,2016-02-20 17:00:00,2016-02-20 19:00:00,120.0,9
2016-02-21,432.0,0.55,66.0,10.688888888888888,-1.8000000000000007,-0.015000000000000006,11.35,9.3,2.049999999999999,9,0.0,0.0,True,2016-02-21 17:00:00,2016-02-21 19:00:00,120.0,9
2016-02-22,386.5,0.42166666666666686,50.60000000000002,11.477777777777778,-1.1999999999999993,-0.009999999999999993,12.0,10.8,1.1999999999999993,9,0.0,0.0,True,2016-02-22 17:00:00,2016-02-22 19:00:00,120.0,9
2016-02-23,411.3,0.5691666666666667,68.30000000000001,9.700000000000001,-1.5,-0.0125,10.9,9.2,1.700000000000001,8,0.0,0.0,True,2016-02-23 17:00:00,2016-02-23 19:00:00,120.0,8
2016-02-24,,,,,,,,,,0,15.0,0.0,False,2016-02-24 17:15:00,2016-02-24 19:00:00,,7
2016-02-25,382.6,0.39666666666666683,47.60000000000002,10.927777777777777,-0.5999999999999996,-0.004999999999999997,11.35,10.4,0.9499999999999993,9,0.0,0.0,True,2016-02-25 17:00:00,2016-02-25 19:00:00,120.0,9
2016-02-26,391.1,0.33083333333333326,39.69999999999999,11.15,-0.4499999999999993,-0.0037499999999999942,11.35,10.9,0.4499999999999993,9,0.0,0.0,True,2016-02-26 17:00:00,2016-02-26 19:00:00,120.0,9
2016-02-27,417.5,-0.13833333333333353,-16.600000000000023,10.225000000000001,-1.049999999999999,-0.00874999999999999,10.5,9.4,1.0999999999999996,8,0.0,0.0,True,2016-02-27 17:00:00,2016-02-27 19:00:00,120.0,8
2016-02-28,406.4,0.40249999999999964,48.299999999999955,9.369444444444445,-0.3500000000000014,-0.0029166666666666785,9.55,9.2,0.3500000000000014,9,0.0,0.0,True,2016-02-28 17:00:00,2016-02-28 19:00:00,120.0,9
2016-02-29,384.6,0.1558333333333337,18.700000000000045,11.216666666666667,-2.1499999999999986,-0.017916666666666654,11.6,9.3,2.299999999999999,9,0.0,0.0,True,2016-02-29 17:00:00,2016-02-29 19:00:00,120.0,9
2016-03-01,460.4,-0.6400000000000001,-76.80000000000001,9.488888888888887,-6.425,-0.05354166666666667,11.125,4.7,6.425,9,0.0,0.0,True,2016-03-01 17:00:00,2016-03-01 19:00:00,120.0,9
2016-03-02,,,,,,,,,,0,0.0,-15.0,False,2016-03-02 17:00:00,2016-03-02 18:45:00,,8
