FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY
2015-03-31,,,,,,,,,0,,,False,,,492.0,,,,10.7,,,1,60.0,0.0,False,,10.7
2015-04-01,,,,,,,,,0,0.0,10.000000000000071,False,,,,,,,,,,0,10.000000000000071,0.0,False,,9.54
2015-04-02,-41.80000000000001,437.6,-0.6966666666666669,-2.1999999999999993,-0.03666666666666665,13.0,9.5,3.5,5,0.0,0.0,True,60.0,150.89999999999998,482.7,2.5149999999999997,3.1999999999999993,0.05333333333333332,12.7,9.5,3.1999999999999993,5,0.0,0.0,True,60.0,11.955555555555556
2015-04-03,48.099999999999966,450.7,0.8016666666666661,-1.6000000000000014,-0.02666666666666669,12.3,10.7,1.6000000000000014,5,0.0,0.0,True,60.0,37.900000000000034,488.6,0.6316666666666673,-2.299999999999999,-0.038333333333333316,10.7,8.4,2.299999999999999,5,0.0,0.0,True,60.0,10.444444444444445
2015-04-04,,,,,,,,,0,15.0,0.0,False,,98.30000000000001,482.6,1.6383333333333334,-1.0,-0.016666666666666666,11.1,9.5,1.5999999999999996,5,0.0,0.0,True,60.0,10.8125
2015-04-05,1.3999999999999773,368.0,0.023333333333332953,-0.9000000000000004,-0.015000000000000006,12.5,11.5,1.0,4,0.0,0.0,True,60.0,84.39999999999998,452.4,1.4066666666666663,-0.09999999999999964,-0.0016666666666666607,11.6,11.5,0.09999999999999964,5,0.0,0.0,True,60.0,11.75
2015-04-06,24.30000000000001,406.4,0.4050000000000002,-0.09999999999999964,-0.0016666666666666607,11.4,10.25,1.1500000000000004,13,0.0,0.0,True,60.0,65.39999999999998,434.4,1.0899999999999996,-1.700000000000001,-0.028333333333333353,10.6,8.7,1.9000000000000004,13,0.0,0.0,True,60.0,10.218
2015-04-07,3.400000000000034,364.6,0.05666666666666723,-1.5999999999999996,-0.02666666666666666,11.6,9.3,2.299999999999999,13,0.0,0.0,True,60.0,109.09999999999997,438.4,1.8183333333333327,0.0,0.0,11.2,9.1,2.0999999999999996,13,0.0,0.0,True,60.0,10.32
2015-04-08,57.5,393.7,0.9583333333333334,0.5,0.008333333333333333,10.8,9.0,1.8000000000000007,13,0.0,0.0,True,60.0,49.80000000000001,443.5,0.8300000000000002,-1.5,-0.025,10.8,9.0,1.8000000000000007,13,0.0,0.0,True,60.0,9.716000000000001
2015-04-09,-13.800000000000011,352.6,-0.23000000000000018,-2.0999999999999996,-0.034999999999999996,11.5,8.9,2.5999999999999996,5,0.0,0.0,True,60.0,141.5,467.8,2.3583333333333334,-0.09999999999999964,-0.0016666666666666607,11.3,5.7,5.6000000000000005,5,0.0,0.0,True,60.0,9.944444444444445
2015-04-10,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,
2015-04-13,42.799999999999955,427.9,0.7133333333333326,-1.3000000000000007,-0.021666666666666678,12.3,10.5,1.8000000000000007,5,0.0,0.0,True,60.0,22.80000000000001,450.7,0.38000000000000017,-2.0,-0.03333333333333333,11.0,9.0,2.0,5,0.0,0.0,True,60.0,10.41111111111111
2015-04-14,,,,,,,,,0,15.0,0.0,False,,29.0,426.3,0.48333333333333334,0.0,0.0,9.1,7.0,2.0999999999999996,5,0.0,0.0,True,60.0,8.3875
2015-04-15,0.9000000000000341,387.9,0.015000000000000568,-1.9000000000000004,-0.03166666666666667,11.5,5.8,5.7,8,0.0,0.0,True,60.0,88.79999999999995,435.2,1.4799999999999993,1.0999999999999996,0.018333333333333326,11.1,4.4,6.699999999999999,12,0.0,0.0,True,60.0,10.05263157894737
2015-04-16,28.600000000000023,421.3,0.47666666666666707,-2.0999999999999996,-0.034999999999999996,10.6,8.4,2.1999999999999993,13,0.0,0.0,True,60.0,5.0,475.7,0.07692307692307693,-2.8000000000000007,-0.04307692307692309,8.9,5.6,3.3000000000000007,10,0.0,4.999999999999929,True,65.0,8.595238095238095
2015-04-17,-25.69999999999999,388.6,-0.4283333333333331,-2.0999999999999996,-0.034999999999999996,11.6,8.8,2.799999999999999,11,0.0,0.0,True,60.0,89.69999999999999,473.6,1.4949999999999999,-0.1999999999999993,-0.0033333333333333214,10.8,9.2,1.6000000000000014,13,0.0,0.0,True,60.0,10.286956521739132
2015-04-18,49.900000000000034,430.8,0.8316666666666672,-1.0999999999999996,-0.018333333333333326,11.6,10.5,1.0999999999999996,5,0.0,0.0,True,60.0,35.30000000000001,466.1,0.5883333333333335,-1.4000000000000004,-0.023333333333333338,10.5,9.1,1.4000000000000004,5,0.0,0.0,True,60.0,10.233333333333333
2015-04-19,20.099999999999966,414.7,0.3349999999999994,-0.3999999999999986,-0.006666666666666643,10.7,9.3,1.3999999999999986,5,0.0,0.0,True,60.0,-6.0,414.7,-0.1,-1.0,-0.016666666666666666,10.3,6.6,3.700000000000001,5,0.0,0.0,True,60.0,9.533333333333333
