FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2015-08-31,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,,345.5,,,,8.4,,,1,40.00000000000007,0.0,False,,8.4,1.7,1.7,,-0.69,-0.69,,362.0,,,-6.0,-6,1.56,1.56,-1.0,,,,90.7,1,0
2015-09-01,19.299999999999955,376.4,0.4288888888888879,-0.200000000000001,-0.0044444444444444,9.5,9.1,0.4000000000000003,4,0.0,4.999999999999929,True,45.0,30.80000000000001,407.2,1.026666666666667,-0.0999999999999996,-0.0033333333333333,9.1,8.6,0.5,3,4.999999999999929,-4.999999999999929,True,30.0,-0.3000000000000113,410.8,-0.0066666666666669,-1.2000000000000002,-0.0266666666666666,9.0,7.8,1.2000000000000002,4,-4.999999999999929,0.0,True,45.0,8.777777777777779,-1.9,-3.2,-0.6000000000000001,0.3975,0.76,0.157,349.0,4.760952285695233,-2.8,-2.5,-8,1.655,1.83,-3.225,13.5,17.0,81.0,90.7,4,6
2015-09-02,-14.599999999999966,366.2,-0.3244444444444437,-0.6499999999999995,-0.0144444444444444,8.85,7.7,1.1499999999999997,4,0.0,4.999999999999929,True,45.0,-11.800000000000011,351.6,-0.3933333333333337,0.7000000000000002,0.0233333333333333,8.4,7.7,0.7000000000000002,3,4.999999999999929,-4.999999999999929,True,30.0,13.5,353.3,0.3,-0.4000000000000003,-0.0088888888888888,8.7,8.0,0.6999999999999993,4,-4.999999999999929,0.0,True,45.0,8.277777777777779,-0.7499999999999999,-1.4,0.32,0.7925000000000001,1.08,-0.1689999999999999,410.5,6.454972243679028,-4.4,-11.75,-14,1.4349999999999998,1.57,5.325,26.5,30.0,159.0,89.8,4,6
2015-09-03,-40.5,374.3,-0.9,-0.4000000000000003,-0.0088888888888888,7.9,7.5,0.4000000000000003,4,0.0,4.999999999999929,True,45.0,4.800000000000011,338.6,0.1600000000000004,0.0,0.0,7.6,7.5,0.0999999999999996,3,4.999999999999929,-4.999999999999929,True,30.0,82.59999999999997,421.2,1.8355555555555547,-0.2999999999999998,-0.0066666666666666,7.5,7.2,0.2999999999999998,4,-4.999999999999929,0.0,True,45.0,7.544444444444443,-4.075,-7.9,-2.45,1.41,2.9,1.504,425.0,12.463279397226612,8.4,-11.25,-30,4.425,5.29,-3.425,25.0,33.0,150.0,88.0,4,6
2015-09-04,-23.899999999999977,354.4,-0.5311111111111106,0.75,0.0166666666666666,9.8,9.05,0.75,4,0.0,4.999999999999929,True,45.0,6.5,348.1,0.2166666666666666,-0.1000000000000014,-0.0033333333333333,10.0,9.7,0.3000000000000007,3,4.999999999999929,-4.999999999999929,True,30.0,60.39999999999998,397.4,1.3422222222222218,-1.0,-0.0222222222222222,9.7,8.7,1.0,4,-4.999999999999929,0.0,True,45.0,9.411111111111111,1.575,1.0,-0.1499999999999999,-0.1674999999999999,0.14,0.095,480.0,2.943920288775949,2.0,-21.0,-23,1.865,1.93,5.2,25.0,27.0,150.0,91.5,4,6
2015-09-05,-9.400000000000034,377.7,-0.2088888888888896,-0.4499999999999993,-0.0099999999999999,9.05,8.4,0.6500000000000004,4,0.0,4.999999999999929,True,45.0,31.19999999999999,398.4,1.0399999999999996,-3.8000000000000007,-0.1266666666666666,8.8,4.6,4.200000000000001,3,4.999999999999929,-4.999999999999929,True,30.0,-9.299999999999956,417.3,-0.2066666666666656,4.200000000000001,0.0933333333333333,9.2,4.6,4.6,4,-4.999999999999929,0.0,True,45.0,8.394444444444444,1.15,0.5,-0.06,-0.1225,0.36,0.079,450.75,7.973915809270458,-4.9,-14.25,-18,2.0125,2.11,3.7,28.5,37.0,171.0,86.8,4,6
2015-09-06,10.900000000000034,362.8,0.2422222222222229,0.5999999999999996,0.0133333333333333,9.1,8.5,0.5999999999999996,4,0.0,4.999999999999929,True,45.0,9.0,371.8,0.3,0.0,0.0,9.1,,,2,4.999999999999929,-4.999999999999929,True,30.0,67.69999999999999,439.5,1.5044444444444445,-0.9000000000000004,-0.02,9.1,8.2,0.9000000000000004,4,-4.999999999999929,0.0,True,45.0,8.69375,2.825,2.0,0.09,-0.8300000000000001,-0.45,0.04,482.25,15.75595125658873,10.5,-12.75,-19,2.505,2.81,4.4,30.0,40.0,180.0,86.9,4,6
2015-09-07,66.30000000000001,373.3,1.4733333333333336,0.5,0.0111111111111111,7.4,6.9,0.5,4,0.0,4.999999999999929,True,45.0,-10.400000000000034,373.5,-0.3466666666666678,0.2999999999999998,0.0099999999999999,7.7,7.4,0.2999999999999998,3,4.999999999999929,-4.999999999999929,True,30.0,17.400000000000034,395.2,0.3866666666666674,0.6000000000000005,0.0133333333333333,8.5,7.7,0.7999999999999998,4,-4.999999999999929,0.0,True,45.0,7.633333333333334,-5.525,-7.3,-0.9099999999999998,4.0675,4.96,0.4609999999999999,575.5,7.852812659593164,-5.6,-68.0,-72,3.3475,4.39,7.3,60.0,63.0,360.0,85.0,4,6
2015-09-08,17.700000000000045,377.6,0.3933333333333343,-0.0999999999999996,-0.0022222222222222,8.4,7.1,1.3000000000000007,4,0.0,4.999999999999929,True,45.0,-9.700000000000044,377.6,-0.3233333333333348,-0.1000000000000014,-0.0033333333333333,8.3,8.0,0.3000000000000007,3,4.999999999999929,-4.999999999999929,True,30.0,24.900000000000038,392.8,0.5533333333333341,-0.1999999999999993,-0.0044444444444444,8.2,7.7,0.4999999999999991,4,-4.999999999999929,0.0,True,45.0,7.855555555555556,3.2,-0.1,-0.5800000000000001,-0.0425,1.41,0.2449999999999999,441.25,3.8622100754188224,-2.9,-13.75,-16,5.055,5.96,12.85,27.0,37.0,162.0,84.7,4,6
2015-09-09,36.80000000000001,362.2,0.817777777777778,0.2999999999999998,0.0066666666666666,7.5,7.2,0.2999999999999998,4,0.0,4.999999999999929,True,45.0,14.600000000000025,360.8,0.4866666666666674,0.5,0.0166666666666666,8.0,7.4,0.5999999999999996,3,4.999999999999929,-4.999999999999929,True,30.0,18.19999999999999,384.2,0.4044444444444442,-0.2999999999999998,-0.0066666666666666,8.0,7.7,0.2999999999999998,4,-4.999999999999929,0.0,True,45.0,7.611111111111111,-4.6000000000000005,-6.4,1.2200000000000002,1.97,2.74,-0.562,438.25,2.217355782608345,1.1,-70.5,-90,3.895,3.96,0.1499999999999999,55.0,57.0,330.0,83.5,4,6
