FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY
2015-01-06,,,,,,,,,0,45.0,4.999999999999929,False,,20.69999999999999,399.5,0.5914285714285711,-0.29999999999999893,-0.00857142857142854,12.2,11.8,0.3999999999999986,5,4.999999999999929,0.0,True,35.0,32.0,431.5,0.8,-0.3000000000000007,-0.007500000000000018,12.0,11.2,0.8000000000000007,7,0.0,0.0,True,40.0,11.827272727272726
2015-01-07,-28.400000000000034,380.6,-0.8114285714285724,0.09999999999999964,0.002857142857142847,11.7,11.5,0.1999999999999993,8,0.0,-5.000000000000142,True,35.0,,,,,,,,,0,-5.000000000000142,-45.0,False,,,,,,,,,,0,40.00000000000007,0.0,False,,11.477777777777778
2015-01-08,18.900000000000034,351.6,0.47250000000000086,-0.20000000000000107,-0.005000000000000027,12.8,12.2,0.6000000000000014,7,0.0,0.0,True,40.0,24.599999999999966,376.2,0.6149999999999991,-0.3999999999999986,-0.009999999999999964,12.2,11.8,0.3999999999999986,5,0.0,0.0,True,40.0,52.900000000000034,445.9,1.322500000000001,-0.7000000000000011,-0.017500000000000026,11.8,11.1,0.7000000000000011,5,0.0,0.0,True,40.0,12.066666666666665
2015-01-09,-11.900000000000034,408.3,-0.2975000000000009,0.0,0.0,11.6,11.4,0.1999999999999993,9,0.0,0.0,True,40.0,-9.099999999999966,415.4,-0.22749999999999915,-0.5999999999999996,-0.01499999999999999,11.5,10.9,0.5999999999999996,8,0.0,0.0,True,40.0,70.89999999999998,457.5,1.7724999999999995,0.29999999999999893,0.007499999999999974,11.4,10.9,0.5,5,0.0,0.0,True,40.0,11.41
2015-01-10,-0.9000000000000341,370.9,-0.020000000000000757,-0.20000000000000107,-0.004444444444444468,12.4,12.1,0.3000000000000007,4,0.0,4.999999999999929,True,45.0,13.0,379.9,0.43333333333333335,-0.29999999999999893,-0.009999999999999964,12.1,11.8,0.29999999999999893,3,4.999999999999929,-4.999999999999929,True,30.0,55.60000000000002,435.5,1.235555555555556,-0.7000000000000011,-0.01555555555555558,11.8,11.1,0.7000000000000011,3,-4.999999999999929,0.0,True,45.0,11.915625
2015-01-11,2.8999999999999773,405.8,0.06444444444444394,0.34999999999999964,0.00777777777777777,8.95,8.6,0.34999999999999964,4,0.0,4.999999999999929,True,45.0,,,,,,,,,0,4.999999999999929,10.000000000000071,False,,,,,,,,,,0,10.000000000000071,0.0,False,,8.8875
2015-01-12,6.599999999999966,423.2,0.14666666666666592,0.3000000000000007,0.006666666666666683,10.5,10.2,0.3000000000000007,4,0.0,4.999999999999929,True,45.0,-5.800000000000011,423.2,-0.19333333333333372,0.0,0.0,10.6,10.5,0.09999999999999964,3,4.999999999999929,-4.999999999999929,True,30.0,-10.899999999999977,429.2,-0.24222222222222173,-0.9000000000000004,-0.020000000000000007,10.5,9.5,1.0,4,-4.999999999999929,0.0,True,45.0,10.2
2015-01-13,-26.80000000000001,411.8,-0.5955555555555558,0.0,0.0,9.9,9.5,0.40000000000000036,3,0.0,4.999999999999929,True,45.0,9.699999999999989,390.3,0.323333333333333,0.3000000000000007,0.010000000000000024,9.9,9.5,0.40000000000000036,3,4.999999999999929,-4.999999999999929,True,30.0,15.699999999999989,402.7,0.34888888888888864,-0.5,-0.011111111111111112,9.8,9.3,0.5,4,-4.999999999999929,0.0,True,45.0,9.6125
2015-01-14,,348.1,,,,8.1,,,1,40.00000000000007,0.0,False,,55.299999999999955,410.9,1.5799999999999987,1.200000000000001,0.034285714285714315,9.3,8.1,1.200000000000001,3,0.0,-4.999999999999929,True,35.0,-4.0,407.0,-0.08888888888888889,0.0,0.0,9.5,9.3,0.1999999999999993,3,-4.999999999999929,0.0,True,45.0,9.079999999999998
2015-01-15,-15.600000000000023,420.8,-0.3466666666666672,-0.3000000000000007,-0.006666666666666683,9.5,9.2,0.3000000000000007,4,0.0,4.999999999999929,True,45.0,4.5,409.7,0.15,0.10000000000000142,0.003333333333333381,9.3,8.6,0.7000000000000011,3,4.999999999999929,-4.999999999999929,True,30.0,6.900000000000034,416.6,0.1533333333333341,-0.20000000000000107,-0.004444444444444468,9.3,8.7,0.6000000000000014,4,-4.999999999999929,0.0,True,45.0,9.133333333333333
2015-01-16,,394.9,,,,9.05,,,1,45.0,4.999999999999929,False,,-12.299999999999955,394.9,-0.4099999999999985,-0.25,-0.008333333333333333,9.05,,,2,4.999999999999929,-4.999999999999929,True,30.0,9.5,413.9,0.2111111111111111,-0.20000000000000107,-0.004444444444444468,9.3,8.6,0.7000000000000011,4,-4.999999999999929,0.0,True,45.0,9.010000000000002
2015-01-17,,,,,,,,,0,0.0,-10.000000000000071,False,,,,,,,,,,0,-10.000000000000071,-4.999999999999929,False,,-23.19999999999999,465.9,-0.5155555555555553,-3.1500000000000004,-0.07,11.25,8.1,3.1500000000000004,4,-4.999999999999929,0.0,True,45.0,10.37857142857143
