FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY
2015-03-31,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,,492.0,,,,10.7,,,1,40.00000000000007,0.0,False,,10.7
2015-04-01,18.0,409.5,0.4,-0.1999999999999993,-0.004444444444444429,10.9,9.0,1.9000000000000004,5,0.0,4.999999999999929,True,45.0,26.400000000000034,381.8,0.8800000000000011,0.0,0.0,9.5,9.0,0.5,3,4.999999999999929,-4.999999999999929,True,30.0,89.0,454.1,1.9777777777777779,0.1999999999999993,0.004444444444444429,9.3,9.0,0.3000000000000007,4,-4.999999999999929,0.0,True,45.0,9.54
2015-04-02,64.0,437.6,1.4222222222222223,1.0,0.022222222222222223,13.0,11.7,1.3000000000000007,4,0.0,4.999999999999929,True,45.0,-29.5,437.6,-0.9833333333333333,-1.3999999999999986,-0.04666666666666662,12.7,9.5,3.1999999999999993,3,4.999999999999929,-4.999999999999929,True,30.0,74.59999999999997,482.7,1.6577777777777771,1.3999999999999986,0.03111111111111108,12.7,11.3,1.3999999999999986,4,-4.999999999999929,0.0,True,45.0,11.955555555555556
2015-04-03,46.5,449.1,1.0333333333333334,-0.9000000000000004,-0.020000000000000007,12.3,11.4,0.9000000000000004,4,0.0,4.999999999999929,True,45.0,-24.0,450.7,-0.8,-1.9000000000000004,-0.06333333333333334,11.4,9.5,1.9000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,63.5,488.6,1.4111111111111112,-1.0999999999999996,-0.024444444444444435,9.5,8.4,1.0999999999999996,4,-4.999999999999929,0.0,True,45.0,10.444444444444445
2015-04-04,,,,,,,,,0,15.0,4.999999999999929,False,,32.39999999999998,443.9,1.0799999999999992,-0.3000000000000007,-0.010000000000000024,11.4,10.5,0.9000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,38.700000000000045,482.6,0.860000000000001,-1.5999999999999996,-0.03555555555555555,11.1,9.5,1.5999999999999996,4,-4.999999999999929,0.0,True,45.0,10.8125
2015-04-05,-9.400000000000034,366.6,-0.20888888888888965,-1.0,-0.022222222222222223,12.5,11.5,1.0,3,0.0,4.999999999999929,True,45.0,26.100000000000023,383.3,0.8700000000000008,0.09999999999999964,0.0033333333333333214,11.6,11.5,0.09999999999999964,3,4.999999999999929,-4.999999999999929,True,30.0,69.09999999999997,452.4,1.535555555555555,-0.09999999999999964,-0.0022222222222222144,11.6,11.5,0.09999999999999964,4,-4.999999999999929,0.0,True,45.0,11.75
2015-04-06,44.10000000000002,406.4,1.1025000000000005,0.5999999999999996,0.01499999999999999,11.4,10.25,1.1500000000000004,9,0.0,0.0,True,40.0,-15.400000000000034,400.8,-0.38500000000000084,-1.5999999999999996,-0.039999999999999994,11.1,9.5,1.5999999999999996,9,0.0,0.0,True,40.0,61.0,434.4,1.525,-0.8000000000000007,-0.020000000000000018,9.5,8.7,0.8000000000000007,9,0.0,0.0,True,40.0,10.218
2015-04-07,4.7000000000000455,363.3,0.11750000000000113,-0.20000000000000107,-0.005000000000000027,11.6,9.3,2.299999999999999,9,0.0,0.0,True,40.0,49.0,384.3,1.225,0.0,0.0,11.2,9.3,1.8999999999999986,9,0.0,0.0,True,40.0,58.799999999999955,438.4,1.4699999999999989,-1.3999999999999986,-0.03499999999999996,10.8,9.1,1.700000000000001,9,0.0,0.0,True,40.0,10.32
2015-04-08,8.5,349.5,0.2125,0.0,0.0,10.5,9.2,1.3000000000000007,9,0.0,0.0,True,40.0,3.6999999999999886,393.7,0.09249999999999972,-1.0,-0.025,10.8,9.0,1.8000000000000007,9,0.0,0.0,True,40.0,95.10000000000002,443.5,2.3775000000000004,0.0,0.0,9.5,9.2,0.3000000000000007,9,0.0,0.0,True,40.0,9.716000000000001
2015-04-09,-35.80000000000001,352.6,-0.7955555555555558,-2.5999999999999996,-0.05777777777777777,11.5,8.9,2.5999999999999996,4,0.0,4.999999999999929,True,45.0,95.30000000000001,399.6,3.176666666666667,2.4000000000000004,0.08000000000000002,11.3,8.9,2.4000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,68.19999999999999,467.8,1.5155555555555553,-2.0,-0.044444444444444446,11.3,5.7,5.6000000000000005,4,-4.999999999999929,0.0,True,45.0,9.944444444444445
2015-04-10,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,
2015-04-13,4.099999999999966,404.1,0.09111111111111035,-1.8000000000000007,-0.040000000000000015,12.3,10.5,1.8000000000000007,4,0.0,4.999999999999929,True,45.0,-2.099999999999966,427.9,-0.06999999999999887,-1.0,-0.03333333333333333,11.0,9.5,1.5,3,4.999999999999929,-4.999999999999929,True,30.0,63.599999999999966,450.7,1.4133333333333327,-0.5,-0.011111111111111112,9.5,9.0,0.5,4,-4.999999999999929,0.0,True,45.0,10.41111111111111
