FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2015-03-16,441.0,0.5349999999999999,64.19999999999999,9.62857142857143,-2.6999999999999997,-0.0224999999999999,11.1,8.4,2.6999999999999997,7,0.0,0.0,True,2015-03-16 17:00:00,2015-03-16 19:00:00,120.0,7,5.550000000000001,4.8,-0.4599999999999998,-2.605,-2.15,-0.146,424.25,4.99165971062398,-2.9,5.5,3,5.732500000000001,6.48,2.775,8.0,13.0,48.0,116.0,4,6
2015-03-17,525.9,1.0625,127.5,9.285714285714286,-0.8000000000000007,-0.0066666666666666,9.6,8.6,1.0,7,0.0,0.0,True,2015-03-17 17:00:00,2015-03-17 19:00:00,120.0,7,-8.35,-15.5,5.92,7.72,9.65,-1.94,562.75,19.956202043475106,8.5,-214.25,-234,4.6825,5.32,-12.575,75.0,77.0,450.0,113.2,4,6
2015-03-18,441.8,1.0191666666666668,122.3,9.05,-0.8000000000000007,-0.0066666666666666,9.4,8.6,0.8000000000000007,6,0.0,0.0,True,2015-03-18 17:00:00,2015-03-18 19:00:00,120.0,6,-0.7999999999999999,-2.9,-0.2999999999999999,1.2475,2.06,0.003,668.75,9.63932916061417,-5.3,-95.0,-99,2.7275,2.82,-2.25,47.0,47.0,282.0,113.7,4,6
2015-03-19,494.8,1.356666666666667,162.8,12.4,-1.9000000000000004,-0.0158333333333333,13.1,11.2,1.9000000000000004,5,0.0,0.0,True,2015-03-19 17:00:00,2015-03-19 19:00:00,120.0,5,-0.2749999999999999,-2.3,0.4699999999999999,0.6925,1.84,0.3329999999999999,584.0,12.806248474865695,8.4,-69.75,-75,2.35,2.53,-1.7000000000000002,30.0,37.0,180.0,108.3,4,6
2015-03-20,,,,,,,,,,0,75.0,0.0,False,2015-03-20 18:15:00,2015-03-20 19:00:00,,4,-1.05,-3.2,-1.4000000000000004,1.1224999999999998,2.03,0.095,596.5,9.327379053088816,6.0,-61.5,-69,2.545,2.75,-1.775,38.0,43.0,228.0,111.8,4,6
2015-03-21,,,,,,,,,,0,30.0,0.0,False,2015-03-21 17:30:00,2015-03-21 19:00:00,,6,7.65,6.0,0.7199999999999999,-4.5525,-2.3,-1.283,652.5,9.71253485622231,5.8,-40.75,-43,2.2275,2.33,0.95,15.0,17.0,90.0,112.7,4,6
2015-03-22,,,,,,,,,,0,75.0,0.0,False,2015-03-22 18:15:00,2015-03-22 19:00:00,,4,4.3,0.9,-0.8400000000000001,-2.63,-1.61,0.0559999999999999,574.75,3.095695936834452,1.3,-43.75,-46,1.41,1.7,1.7999999999999998,10.0,10.0,60.0,121.5,4,6
2015-03-23,486.7,1.3747826086956518,158.09999999999997,12.379315789473685,-0.4000000000000003,-0.0034782608695652,13.1,9.7,3.4000000000000004,19,4.999999999999929,0.0,True,2015-03-23 17:05:00,2015-03-23 19:00:00,115.0,19,-0.0749999999999999,-1.5,-0.11,-1.1,-0.28,0.09,553.75,15.01943185787443,-10.9,-48.0,-50,1.5875,1.79,3.75,32.0,37.0,192.0,127.2,4,6
2015-03-24,476.1,0.6125,73.5,11.094,-3.0,-0.025,12.3,9.3,3.0,25,0.0,0.0,True,2015-03-24 17:00:00,2015-03-24 19:00:00,120.0,25,1.4500000000000002,0.1,0.1,-1.4050000000000002,-1.03,-0.21,550.5,5.972157622389639,4.6,-31.5,-34,2.4425,2.59,2.475,18.5,20.0,111.0,132.2,4,6
2015-03-25,481.7,1.2424999999999995,149.09999999999997,9.504,-0.9000000000000004,-0.0075,11.05,8.2,2.8500000000000014,25,0.0,0.0,True,2015-03-25 17:00:00,2015-03-25 19:00:00,120.0,25,1.0,-1.5,-0.96,-0.7875,-0.36,0.361,515.0,6.27162924074226,-1.6,-31.25,-33,1.845,2.04,1.275,26.5,33.0,159.0,137.0,4,6
2015-03-26,457.0,1.1050000000000002,132.60000000000002,9.834,-0.2999999999999989,-0.0024999999999999,11.2,5.9,5.299999999999999,25,0.0,0.0,True,2015-03-26 17:00:00,2015-03-26 19:00:00,120.0,25,-0.35,-1.1,-0.3199999999999999,0.6525,0.96,0.253,433.0,3.4641016151377544,2.0,-29.5,-31,2.1425,2.19,-2.25,25.0,30.0,150.0,135.5,4,6
2015-03-27,,,,,,,,,,0,15.0,0.0,False,2015-03-27 17:15:00,2015-03-27 19:00:00,,4,3.325,1.4,0.8300000000000001,-1.04,-0.04,-0.562,371.25,7.274384280931732,-5.5,-20.5,-21,2.0275000000000003,2.08,0.0499999999999999,11.5,13.0,69.0,137.2,4,6
2015-03-28,,,,,,,,,,0,60.0,0.0,False,2015-03-28 18:00:00,2015-03-28 19:00:00,,3,6.699999999999999,5.1,-0.82,0.1,0.77,0.3,410.75,5.123475382979799,-3.9,-18.5,-20,7.1825,8.04,-10.95,23.5,27.0,141.0,145.1,4,6
2015-03-29,,,,,,,,,,0,,,False,,,,0,2.1500000000000004,1.8,-0.26,0.59,0.81,-0.038,363.75,5.377421934967226,-3.7,-31.25,-32,2.8175000000000003,3.07,-6.4,20.0,20.0,120.0,144.0,4,6
2015-03-30,,,,,,,,,,0,60.0,0.0,False,2015-03-30 18:00:00,2015-03-30 19:00:00,,5,1.375,-0.6,1.1900000000000002,0.1124999999999999,0.82,-0.351,307.75,6.701989754294367,-0.5,-27.25,-29,0.6699999999999999,0.79,-2.8,12.0,17.0,72.0,133.3,4,6
2015-03-31,,,,,,,,,,0,0.0,-15.0,False,2015-03-31 17:00:00,2015-03-31 18:45:00,,8,9.866666666666667,9.0,-0.5499999999999998,-5.386666666666667,-5.2,0.2149999999999998,402.0,5.291502622129181,-4.0,-12.0,-12,2.54,2.66,9.466666666666669,23.5,27.0,141.0,127.8,3,6
