FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2015-03-31,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,,492.0,,,,10.7,,,1,40.00000000000007,0.0,False,,10.7,7.5,7.5,,-4.89,-4.89,,401.0,,,-13.0,-13,2.35,2.35,11.0,,,,123.9,1,0
2015-04-01,18.0,409.5,0.4,-0.1999999999999993,-0.0044444444444444,10.9,9.0,1.9000000000000004,5,0.0,4.999999999999929,True,45.0,26.400000000000038,381.8,0.8800000000000011,0.0,0.0,9.5,9.0,0.5,3,4.999999999999929,-4.999999999999929,True,30.0,89.0,454.1,1.9777777777777776,0.1999999999999993,0.0044444444444444,9.3,9.0,0.3000000000000007,4,-4.999999999999929,0.0,True,45.0,9.54,0.825,-1.8,1.91,-2.9875,-2.09,-0.6030000000000001,421.0,9.899494936611664,-7.2,-8.5,-11,4.675000000000001,4.94,12.025,20.0,20.0,120.0,123.9,4,6
2015-04-02,64.0,437.6,1.4222222222222225,1.0,0.0222222222222222,13.0,11.7,1.3000000000000007,4,0.0,4.999999999999929,True,45.0,-29.5,437.6,-0.9833333333333332,-1.3999999999999986,-0.0466666666666666,12.7,9.5,3.1999999999999997,3,4.999999999999929,-4.999999999999929,True,30.0,74.59999999999997,482.7,1.6577777777777771,1.3999999999999986,0.031111111111111,12.7,11.3,1.3999999999999986,4,-4.999999999999929,0.0,True,45.0,11.955555555555556,5.05,2.6,0.52,-2.4625,-1.33,-0.1749999999999999,463.75,3.8622100754188224,2.5,-29.5,-35,6.795,7.58,1.925,40.0,47.0,240.0,121.2,4,6
2015-04-03,46.5,449.1,1.0333333333333334,-0.9000000000000004,-0.02,12.3,11.4,0.9000000000000004,4,0.0,4.999999999999929,True,45.0,-24.0,450.7,-0.8,-1.9000000000000004,-0.0633333333333333,11.4,9.5,1.9000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,63.5,488.6,1.4111111111111112,-1.0999999999999996,-0.0244444444444444,9.5,8.4,1.0999999999999996,4,-4.999999999999929,0.0,True,45.0,10.444444444444445,-1.15,-2.5,0.6799999999999999,-0.1374999999999999,0.5,-0.4429999999999999,551.75,1.707825127659933,1.3,-28.5,-33,2.2175,2.3,2.325,25.0,30.0,150.0,119.8,4,6
2015-04-04,,,,,,,,,0,15.0,4.999999999999929,False,,32.39999999999998,443.9,1.0799999999999992,-0.3000000000000007,-0.01,11.4,10.5,0.9000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,38.700000000000045,482.6,0.860000000000001,-1.5999999999999996,-0.0355555555555555,11.1,9.5,1.5999999999999996,4,-4.999999999999929,0.0,True,45.0,10.8125,2.725,1.6,-0.5900000000000001,-0.8949999999999999,-0.72,0.144,538.25,14.84082207965583,9.3,-12.5,-15,2.305,2.48,-1.175,18.5,20.0,111.0,122.4,4,6
2015-04-05,-9.400000000000034,366.6,-0.2088888888888896,-1.0,-0.0222222222222222,12.5,11.5,1.0,3,0.0,4.999999999999929,True,45.0,26.100000000000023,383.3,0.8700000000000008,0.0999999999999996,0.0033333333333333,11.6,11.5,0.0999999999999996,3,4.999999999999929,-4.999999999999929,True,30.0,69.09999999999997,452.4,1.535555555555555,-0.0999999999999996,-0.0022222222222222,11.6,11.5,0.0999999999999996,4,-4.999999999999929,0.0,True,45.0,11.75,-1.15,-2.7,0.7,0.2125,0.85,-0.209,564.5,11.030261405182864,-5.8,-13.5,-17,2.0025,2.4,1.15,20.0,30.0,120.0,122.3,4,6
2015-04-06,44.10000000000002,406.4,1.1025000000000005,0.5999999999999996,0.0149999999999999,11.4,10.25,1.1500000000000004,9,0.0,0.0,True,40.0,-15.400000000000034,400.8,-0.3850000000000008,-1.5999999999999996,-0.0399999999999999,11.1,9.5,1.5999999999999996,9,0.0,0.0,True,40.0,61.0,434.4,1.525,-0.8000000000000007,-0.02,9.5,8.7,0.8000000000000007,9,0.0,0.0,True,40.0,10.218,0.4750000000000001,-0.9,-0.97,-0.3849999999999999,0.04,0.28,449.25,3.5,-2.1,-16.25,-19,1.1575,1.25,0.825,8.5,10.0,51.0,125.8,4,6
2015-04-07,4.7000000000000455,363.3,0.1175000000000011,-0.200000000000001,-0.005,11.6,9.3,2.299999999999999,9,0.0,0.0,True,40.0,49.0,384.3,1.225,0.0,0.0,11.2,9.3,1.8999999999999984,9,0.0,0.0,True,40.0,58.79999999999996,438.4,1.4699999999999989,-1.3999999999999986,-0.0349999999999999,10.8,9.1,1.700000000000001,9,0.0,0.0,True,40.0,10.32,0.1249999999999999,-2.6,-0.8299999999999998,-0.4625,0.53,0.251,377.75,6.701989754294367,-4.9,-3.75,-8,1.3425,1.37,2.125,8.0,13.0,48.0,111.4,4,6
2015-04-08,8.5,349.5,0.2125,0.0,0.0,10.5,9.2,1.3000000000000007,9,0.0,0.0,True,40.0,3.6999999999999886,393.7,0.0924999999999997,-1.0,-0.025,10.8,9.0,1.8000000000000007,9,0.0,0.0,True,40.0,95.10000000000002,443.5,2.3775000000000004,0.0,0.0,9.5,9.2,0.3000000000000007,9,0.0,0.0,True,40.0,9.716,-1.35,-3.0,-0.82,0.505,0.7,0.0779999999999999,331.75,2.8722813232690143,2.1,-2.5,-6,1.0225,1.08,-0.7,12.0,17.0,72.0,106.3,4,6
2015-04-09,-35.80000000000001,352.6,-0.7955555555555558,-2.6,-0.0577777777777777,11.5,8.9,2.6,4,0.0,4.999999999999929,True,45.0,95.3,399.6,3.176666666666667,2.4000000000000004,0.08,11.3,8.9,2.4000000000000004,3,4.999999999999929,-4.999999999999929,True,30.0,68.19999999999999,467.8,1.515555555555555,-2.0,-0.0444444444444444,11.3,5.7,5.6000000000000005,4,-4.999999999999929,0.0,True,45.0,9.944444444444445,-4.15,-6.8,-2.3200000000000003,0.9125,4.1,2.315,382.75,2.8722813232690143,1.5,-0.75,-28,6.577500000000001,7.8,2.225,23.5,27.0,141.0,111.6,4,6
