FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY
2015-02-10,,,,,,,,,0,25.00000000000007,0.0,False,,80.90000000000003,430.1,1.3483333333333338,1.1499999999999986,0.019166666666666644,10.0,7.0,3.0,12,0.0,0.0,True,60.0,8.991176470588234
2015-02-11,-5.100000000000023,392.9,-0.08500000000000038,-0.8000000000000007,-0.013333333333333345,9.9,8.8,1.0999999999999996,9,0.0,0.0,True,60.0,50.80000000000001,430.3,0.8466666666666669,0.0,0.0,9.3,8.9,0.40000000000000036,13,0.0,0.0,True,60.0,9.185714285714287
2015-02-12,-20.80000000000001,380.4,-0.34666666666666685,-1.0999999999999996,-0.018333333333333326,9.4,5.0,4.4,12,0.0,0.0,True,60.0,66.60000000000002,415.8,1.1100000000000003,0.0,0.0,8.8,5.8,3.000000000000001,13,0.0,0.0,True,60.0,8.270833333333334
2015-02-13,68.30000000000001,440.8,1.050769230769231,-0.6999999999999993,-0.010769230769230758,11.6,9.3,2.299999999999999,11,-4.999999999999929,0.0,True,65.0,22.69999999999999,457.7,0.37833333333333313,-1.8000000000000007,-0.030000000000000013,10.9,9.0,1.9000000000000004,13,0.0,0.0,True,60.0,10.13409090909091
2015-02-14,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,
2015-02-15,-44.19999999999999,462.6,-0.7366666666666665,-3.299999999999999,-0.05499999999999998,12.6,9.2,3.4000000000000004,13,0.0,0.0,True,60.0,9.199999999999989,418.5,0.15333333333333315,0.09999999999999964,0.0016666666666666607,9.4,8.8,0.5999999999999996,13,0.0,0.0,True,60.0,9.96256
2015-02-16,-56.299999999999955,400.4,-0.9383333333333326,-1.200000000000001,-0.020000000000000018,10.3,9.1,1.200000000000001,5,0.0,0.0,True,60.0,21.5,367.2,0.35833333333333334,0.3000000000000007,0.005000000000000012,9.5,9.1,0.40000000000000036,5,0.0,0.0,True,60.0,9.405555555555557
2015-02-17,,,,,,,,,0,15.0,0.0,False,,-102.60000000000002,421.4,-1.7100000000000004,-4.65,-0.0775,9.55,4.9,4.65,5,0.0,0.0,True,60.0,9.262875000000001
2015-02-18,,,,,,,,,0,0.0,-30.0,False,,,,,,,,,,0,15.0,0.0,False,,12.183333333333335
2015-02-19,,,,,,,,,0,15.0,-30.0,False,,,,,,,,,,0,15.0,0.0,False,,10.299999999999999
2015-02-20,,388.6,,,,12.5,,,1,15.0,-45.0,False,,,,,,,,,,0,15.0,0.0,False,,11.26
2015-02-21,,,,,,,,,0,0.0,-15.0,False,,,,,,,,,,0,15.0,0.0,False,,11.300000000000002
2015-02-22,82.59999999999997,430.3,1.376666666666666,0.5999999999999996,0.009999999999999993,12.3,10.4,1.9000000000000004,5,0.0,0.0,True,60.0,3.1000000000000227,432.5,0.05166666666666705,-2.3000000000000007,-0.038333333333333344,11.0,8.7,2.3000000000000007,5,0.0,0.0,True,60.0,10.333333333333336
2015-02-23,,,,,,,,,0,0.0,-30.0,False,,,,,,,,,,0,15.0,0.0,False,,9.671428571428569
2015-02-24,,,,,,,,,0,0.0,-15.0,False,,,,,,,,,,0,15.0,0.0,False,,8.556250000000002
2015-02-25,-42.10000000000002,418.6,-0.701666666666667,-1.8000000000000007,-0.030000000000000013,11.3,9.5,1.8000000000000007,3,0.0,0.0,True,60.0,10.399999999999977,406.2,0.17333333333333295,-1.0999999999999996,-0.018333333333333326,9.5,8.4,1.0999999999999996,5,0.0,0.0,True,60.0,9.685714285714285
2015-02-26,,,,,,,,,0,15.0,-15.0,False,,,,,,,,,,0,15.0,0.0,False,,8.666666666666668
2015-02-27,-16.900000000000034,428.3,-0.28166666666666723,-2.5999999999999996,-0.04333333333333333,11.6,8.4,3.1999999999999993,4,0.0,0.0,True,60.0,6.7000000000000455,418.1,0.11166666666666743,-0.8000000000000007,-0.013333333333333345,9.0,8.2,0.8000000000000007,5,0.0,0.0,True,60.0,8.825
2015-02-28,-50.30000000000001,400.5,-0.8383333333333335,-3.1999999999999993,-0.05333333333333332,12.7,9.5,3.1999999999999993,5,0.0,0.0,True,60.0,,,,,,,,,0,0.0,-15.0,False,,11.0875
