FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros
2013-12-31,411.3,,,11.1,,,11.1,,,1,120.0,0.0,False,2013-12-31 19:00:00,,,1
2014-01-01,486.4,0.6816666666666663,81.79999999999995,11.13888888888889,-1.6999999999999993,-0.01416666666666666,11.7,10.0,1.6999999999999993,9,0.0,0.0,True,2014-01-01 17:00:00,2014-01-01 19:00:00,120.0,9
2014-01-02,432.4,0.2699999999999998,32.39999999999998,11.566666666666666,-1.200000000000001,-0.010000000000000009,12.4,9.3,3.0999999999999996,9,0.0,0.0,True,2014-01-02 17:00:00,2014-01-02 19:00:00,120.0,9
2014-01-03,461.4,0.599166666666667,71.90000000000003,10.944444444444445,-2.1999999999999993,-0.018333333333333326,11.6,9.4,2.1999999999999993,9,0.0,0.0,True,2014-01-03 17:00:00,2014-01-03 19:00:00,120.0,9
2014-01-04,361.2,0.6724999999999999,80.69999999999999,8.255555555555555,1.4000000000000004,0.011666666666666669,11.2,6.4,4.799999999999999,9,0.0,0.0,True,2014-01-04 17:00:00,2014-01-04 19:00:00,120.0,9
2014-01-05,350.5,0.20416666666666666,24.5,7.288888888888888,-2.499999999999999,-0.020833333333333325,9.7,5.8,3.8999999999999995,9,0.0,0.0,True,2014-01-05 17:00:00,2014-01-05 19:00:00,120.0,9
2014-01-06,401.6,0.3075000000000003,36.900000000000034,10.644444444444446,-0.9000000000000004,-0.007500000000000003,11.1,9.5,1.5999999999999996,9,0.0,0.0,True,2014-01-06 17:00:00,2014-01-06 19:00:00,120.0,9
2014-01-07,453.1,0.029166666666666667,3.5,9.18888888888889,-2.7,-0.022500000000000003,10.1,7.3,2.8,9,0.0,0.0,True,2014-01-07 17:00:00,2014-01-07 19:00:00,120.0,9
2014-01-08,,,,,,,,,,0,15.0,0.0,False,2014-01-08 17:15:00,2014-01-08 19:00:00,,8
2014-01-09,454.5,1.54,184.8,8.377777777777778,2.0,0.016666666666666666,10.5,6.3,4.2,9,0.0,0.0,True,2014-01-09 17:00:00,2014-01-09 19:00:00,120.0,9
2014-01-10,461.0,0.2883333333333335,34.60000000000002,9.866666666666667,-1.0,-0.008333333333333333,10.4,9.2,1.200000000000001,9,0.0,0.0,True,2014-01-10 17:00:00,2014-01-10 19:00:00,120.0,9
2014-01-11,430.1,0.18416666666666687,22.100000000000023,10.316666666666666,-1.3000000000000007,-0.010833333333333339,10.9,9.5,1.4000000000000004,9,0.0,0.0,True,2014-01-11 17:00:00,2014-01-11 19:00:00,120.0,9
2014-01-12,423.8,0.42416666666666697,50.900000000000034,10.866666666666667,0.3000000000000007,0.002500000000000006,11.1,10.5,0.5999999999999996,9,0.0,0.0,True,2014-01-12 17:00:00,2014-01-12 19:00:00,120.0,9
2014-01-13,453.7,-0.8258333333333331,-99.09999999999997,9.033333333333333,-5.8,-0.04833333333333333,11.7,5.8,5.8999999999999995,9,0.0,0.0,True,2014-01-13 17:00:00,2014-01-13 19:00:00,120.0,9
2014-01-14,440.7,0.33916666666666656,40.69999999999999,11.466666666666667,-3.0999999999999996,-0.02583333333333333,12.5,9.3,3.1999999999999993,9,0.0,0.0,True,2014-01-14 17:00:00,2014-01-14 19:00:00,120.0,9
2014-01-15,367.7,0.7349999999999999,88.19999999999999,6.955555555555555,-0.40000000000000036,-0.003333333333333336,7.2,6.3,0.9000000000000004,9,0.0,0.0,True,2014-01-15 17:00:00,2014-01-15 19:00:00,120.0,9
2014-01-16,,,,,,,,,,0,15.0,0.0,False,2014-01-16 17:15:00,2014-01-16 19:00:00,,8
2014-01-17,395.5,0.4133333333333335,49.60000000000002,11.283333333333331,0.15000000000000036,0.001250000000000003,11.6,10.9,0.6999999999999993,9,0.0,0.0,True,2014-01-17 17:00:00,2014-01-17 19:00:00,120.0,9
2014-01-18,439.5,0.37916666666666665,45.5,10.183333333333334,-1.3499999999999996,-0.011249999999999998,10.75,9.3,1.4499999999999993,9,0.0,0.0,True,2014-01-18 17:00:00,2014-01-18 19:00:00,120.0,9
2014-01-19,380.8,0.008333333333333333,1.0,11.666666666666666,-2.799999999999999,-0.023333333333333324,12.3,9.4,2.9000000000000004,9,0.0,0.0,True,2014-01-19 17:00:00,2014-01-19 19:00:00,120.0,9
2014-01-20,468.7,0.7141666666666666,85.69999999999999,10.494444444444445,-1.5999999999999996,-0.01333333333333333,11.0,9.3,1.6999999999999993,9,0.0,0.0,True,2014-01-20 17:00:00,2014-01-20 19:00:00,120.0,9
2014-01-21,459.5,0.5808333333333332,69.69999999999999,11.480000000000002,-1.25,-0.010416666666666666,12.55,7.45,5.1000000000000005,25,0.0,0.0,True,2014-01-21 17:00:00,2014-01-21 19:00:00,120.0,25
2014-01-22,441.1,0.23666666666666694,28.400000000000034,9.852,-1.5,-0.0125,10.8,9.25,1.5500000000000007,25,0.0,0.0,True,2014-01-22 17:00:00,2014-01-22 19:00:00,120.0,25
2014-01-23,446.0,0.053333333333333614,6.400000000000034,9.49,-2.8499999999999996,-0.023749999999999997,11.0,7.2,3.8,25,0.0,0.0,True,2014-01-23 17:00:00,2014-01-23 19:00:00,120.0,25
2014-01-24,433.8,-0.17416666666666694,-20.900000000000034,9.558,-2.8000000000000007,-0.023333333333333338,11.0,8.2,2.8000000000000007,25,0.0,0.0,True,2014-01-24 17:00:00,2014-01-24 19:00:00,120.0,25
2014-01-25,440.6,-0.1850000000000004,-22.200000000000045,9.04,-1.5999999999999996,-0.01333333333333333,10.4,8.0,2.4000000000000004,25,0.0,0.0,True,2014-01-25 17:00:00,2014-01-25 19:00:00,120.0,25
2014-01-26,424.3,-0.9933333333333333,-119.19999999999999,7.15625,-4.6000000000000005,-0.03833333333333334,10.4,4.3,6.1000000000000005,24,0.0,0.0,True,2014-01-26 17:00:00,2014-01-26 19:00:00,120.0,24
2014-01-27,469.7,0.1074999999999998,12.899999999999977,9.390909090909089,-3.3000000000000007,-0.027500000000000007,12.1,8.0,4.1,22,0.0,0.0,True,2014-01-27 17:00:00,2014-01-27 19:00:00,120.0,22
2014-01-28,454.3,-0.07083333333333333,-8.5,11.168,-3.0,-0.025,12.4,9.4,3.0,25,0.0,0.0,True,2014-01-28 17:00:00,2014-01-28 19:00:00,120.0,25
