FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY
2014-03-31,,,,,,,,,0,,,False,,,,,,,,,,0,60.0,0.0,False,,9.4
2014-04-01,26.30000000000001,439.2,0.4383333333333335,-0.1999999999999993,-0.0033333333333333214,12.8,11.5,1.3000000000000007,13,0.0,0.0,True,60.0,64.80000000000001,504.0,1.0800000000000003,-1.0999999999999996,-0.018333333333333326,12.4,9.3,3.0999999999999996,13,0.0,0.0,True,60.0,11.932
2014-04-02,18.5,419.6,0.30833333333333335,0.0,0.0,11.4,11.2,0.20000000000000107,13,0.0,0.0,True,60.0,90.89999999999998,510.2,1.5149999999999997,-1.3000000000000007,-0.021666666666666678,11.4,10.1,1.3000000000000007,13,0.0,0.0,True,60.0,11.144
2014-04-03,19.399999999999977,416.4,0.323333333333333,-0.1999999999999993,-0.0033333333333333214,10.7,9.5,1.1999999999999993,13,0.0,0.0,True,60.0,99.80000000000001,476.2,1.6633333333333336,-0.09999999999999964,-0.0016666666666666607,9.5,8.6,0.9000000000000004,13,0.0,0.0,True,60.0,9.724
2014-04-04,43.30000000000001,440.6,0.7216666666666669,-0.7000000000000011,-0.011666666666666685,12.3,11.2,1.1000000000000014,5,0.0,0.0,True,60.0,37.299999999999955,477.9,0.6216666666666659,-2.299999999999999,-0.038333333333333316,11.6,9.3,2.299999999999999,5,0.0,0.0,True,60.0,11.0
2014-04-05,6.0,407.8,0.1,-0.09999999999999964,-0.0016666666666666607,10.7,10.55,0.14999999999999858,5,0.0,0.0,True,60.0,,,,,,,,,0,0.0,-15.0,False,,10.46875
2014-04-06,16.69999999999999,435.4,0.27833333333333315,-1.0,-0.016666666666666666,12.6,11.6,1.0,5,0.0,0.0,True,60.0,56.700000000000045,492.1,0.9450000000000007,-2.1999999999999993,-0.03666666666666665,11.6,9.4,2.1999999999999993,5,0.0,0.0,True,60.0,11.38888888888889
2014-04-07,,,,,,,,,0,15.0,0.0,False,,16.80000000000001,480.1,0.2800000000000002,-2.0999999999999996,-0.034999999999999996,11.6,9.5,2.0999999999999996,5,0.0,0.0,True,60.0,11.399999999999999
2014-04-08,-2.0,407.5,-0.03333333333333333,-0.6999999999999993,-0.011666666666666655,10.3,9.4,0.9000000000000004,5,0.0,0.0,True,60.0,71.79999999999995,453.9,1.1966666666666659,-0.5999999999999996,-0.009999999999999993,9.5,8.9,0.5999999999999996,5,0.0,0.0,True,60.0,9.58888888888889
2014-04-09,10.0,405.9,0.16666666666666666,-0.7000000000000011,-0.011666666666666685,12.3,11.5,0.8000000000000007,5,0.0,0.0,True,60.0,43.700000000000045,476.3,0.728333333333334,-2.0999999999999996,-0.034999999999999996,11.6,9.5,2.0999999999999996,5,0.0,0.0,True,60.0,11.355555555555556
2014-04-10,52.5,442.8,0.875,-1.4000000000000004,-0.023333333333333338,13.1,11.6,1.5,5,0.0,0.0,True,60.0,58.30000000000001,501.1,0.9716666666666669,-3.4000000000000004,-0.05666666666666667,11.6,8.2,3.4000000000000004,5,0.0,0.0,True,60.0,11.233333333333334
2014-04-11,-3.0,407.6,-0.05,-1.4000000000000004,-0.023333333333333338,13.0,11.5,1.5,5,0.0,0.0,True,60.0,131.2,533.0,2.1866666666666665,-2.6999999999999993,-0.04499999999999999,11.6,8.9,2.6999999999999993,5,0.0,0.0,True,60.0,11.533333333333335
2014-04-12,29.600000000000023,412.0,0.49333333333333373,-0.20000000000000107,-0.003333333333333351,11.8,11.5,0.3000000000000007,5,0.0,0.0,True,60.0,50.80000000000001,462.8,0.8466666666666669,-1.0,-0.016666666666666666,11.6,10.6,1.0,5,0.0,0.0,True,60.0,11.350000000000001
2014-04-13,62.30000000000001,422.3,1.0383333333333336,-0.09999999999999964,-0.0016666666666666607,11.6,11.5,0.09999999999999964,5,0.0,0.0,True,60.0,43.80000000000001,466.1,0.7300000000000002,-0.40000000000000036,-0.006666666666666672,11.5,10.8,0.6999999999999993,5,0.0,0.0,True,60.0,11.355555555555554
2014-04-14,30.399999999999977,410.7,0.5066666666666663,0.0,0.0,12.4,11.5,0.9000000000000004,5,0.0,0.0,True,60.0,38.400000000000034,449.1,0.6400000000000006,-2.0999999999999996,-0.034999999999999996,12.4,9.5,2.9000000000000004,5,0.0,0.0,True,60.0,11.077777777777778
2014-04-15,,,,,,,,,0,10.000000000000071,0.0,False,,110.90000000000003,462.6,1.8483333333333338,-0.40000000000000036,-0.006666666666666672,9.1,8.6,0.5,5,0.0,0.0,True,60.0,9.416666666666666
2014-04-16,54.30000000000001,422.7,0.9050000000000001,-0.05000000000000071,-0.0008333333333333452,11.6,11.5,0.09999999999999964,5,0.0,0.0,True,60.0,109.00000000000006,531.7,1.8166666666666675,-2.1999999999999993,-0.03666666666666665,11.5,9.3,2.1999999999999993,5,0.0,0.0,True,60.0,10.96111111111111
