FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2015-03-04,14.5,398.2,0.3222222222222222,0.0,0.0,10.75,9.5,1.25,4,0.0,4.999999999999929,True,45.0,11.099999999999966,352.7,0.3699999999999989,0.0,0.0,9.5,,,2,4.999999999999929,-4.999999999999929,True,30.0,42.19999999999999,394.9,0.9377777777777776,-0.1999999999999993,-0.0044444444444444,9.5,9.3,0.1999999999999993,4,-4.999999999999929,0.0,True,45.0,9.65625,1.4249999999999998,-0.1,0.51,-0.2724999999999999,0.46,-0.421,503.0,3.741657386773941,0.4,-14.5,-18,2.4925,2.57,-1.25,22.0,27.0,132.0,122.1,4,6,1.0,2.0,0.4379,0.0571,2720.0,2015-03-04 23:18:04,G02
2015-03-17,-8.899999999999977,398.4,-0.1977777777777772,-0.0999999999999996,-0.0022222222222222,9.4,9.1,0.3000000000000007,3,0.0,4.999999999999929,True,45.0,-11.300000000000011,389.5,-0.376666666666667,0.1999999999999993,0.0066666666666666,9.5,,,2,4.999999999999929,-4.999999999999929,True,30.0,147.7,525.9,3.282222222222222,-0.9000000000000004,-0.02,9.6,8.6,1.0,4,-4.999999999999929,0.0,True,45.0,9.285714285714286,-8.35,-15.5,5.92,7.72,9.65,-1.94,562.75,19.956202043475106,8.5,-214.25,-234,4.6825,5.32,-12.575,75.0,77.0,450.0,113.2,4,6,1.0,1.0,0.4346,0.0526,2668.0,2015-03-17 19:33:04,G07
2015-03-23,23.5,352.1,0.6714285714285714,0.2999999999999989,0.0085714285714285,13.1,11.6,1.5,6,4.999999999999929,0.0,True,35.0,9.099999999999966,385.9,0.2274999999999991,-1.799999999999999,-0.0449999999999999,13.1,9.7,3.4000000000000004,7,0.0,0.0,True,40.0,125.5,486.7,3.1375,1.0999999999999996,0.0274999999999999,12.9,11.3,1.5999999999999996,8,0.0,0.0,True,40.0,12.379315789473685,-0.0749999999999999,-1.5,-0.11,-1.1,-0.28,0.09,553.75,15.01943185787443,-10.9,-48.0,-50,1.5875,1.79,3.75,32.0,37.0,192.0,127.2,4,6,1.0,2.0,0.4745,0.0581,2662.0,2015-03-23 22:31:04,G20
2015-03-24,3.3999999999999773,419.5,0.0849999999999994,-0.7000000000000011,-0.0175,12.3,11.25,1.0500000000000007,9,0.0,0.0,True,40.0,41.60000000000002,447.6,1.0400000000000005,-0.5,-0.0125,11.6,11.1,0.5,9,0.0,0.0,True,40.0,28.5,476.1,0.7125,-1.799999999999999,-0.0449999999999999,11.1,9.3,1.799999999999999,9,0.0,0.0,True,40.0,11.094,1.4500000000000002,0.1,0.1,-1.4050000000000002,-1.03,-0.21,550.5,5.972157622389639,4.6,-31.5,-34,2.4425,2.59,2.475,18.5,20.0,111.0,132.2,4,6,1.0,6.0,0.5228,0.0627,1974.0,2015-03-24 22:13:04,G28
2015-03-25,68.89999999999998,402.3,1.7224999999999997,1.0,0.025,11.05,9.4,1.6500000000000004,9,0.0,0.0,True,40.0,-8.600000000000023,401.5,-0.2150000000000005,-1.0999999999999996,-0.0274999999999999,10.6,9.2,1.4000000000000004,9,0.0,0.0,True,40.0,88.80000000000001,481.7,2.22,-0.8000000000000007,-0.02,9.5,8.2,1.3000000000000007,9,0.0,0.0,True,40.0,9.504,1.0,-1.5,-0.96,-0.7875,-0.36,0.361,515.0,6.27162924074226,-1.6,-31.25,-33,1.845,2.04,1.275,26.5,33.0,159.0,137.0,4,6,1.0,56.0,1.0211,0.1004,2655.0,2015-03-25 21:23:04,G20
2015-03-26,67.20000000000005,408.4,1.680000000000001,1.0999999999999996,0.0274999999999999,11.2,9.6,1.5999999999999996,9,0.0,0.0,True,40.0,-108.8,406.5,-2.72,-4.799999999999999,-0.1199999999999999,10.9,5.9,5.0,9,0.0,0.0,True,40.0,174.2,457.0,4.355,3.4000000000000004,0.085,9.5,5.9,3.6,9,0.0,0.0,True,40.0,9.834,-0.35,-1.1,-0.3199999999999999,0.6525,0.96,0.253,433.0,3.4641016151377544,2.0,-29.5,-31,2.1425,2.19,-2.25,25.0,30.0,150.0,135.5,4,6,0.0,0.0,0.3689,0.0458,2653.0,2015-03-26 21:25:04,G17
