FECHA,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2013-01-24,2.725,1.7,0.49000000000000005,-1.2175,-0.86,-0.14900000000000002,279.75,2.6299556396765835,1.9,14.0,12,1.5025,1.74,4.625,0.0,0.0,0.0,100.2,4,6
2013-01-25,-1.8500000000000003,-11.3,-1.8800000000000001,1.1025,4.21,-0.020999999999999908,390.0,5.94418483337567,2.6,6.0,-21,5.1325,5.67,-2.725,23.5,30.0,141.0,97.5,4,6
2013-01-26,-2.325,-5.8,1.49,1.795,3.63,-0.768,508.25,40.235763527820204,23.1,-42.5,-51,1.9525000000000001,2.74,-3.8500000000000005,40.0,40.0,240.0,96.3,4,6
2013-01-27,-0.6,-0.8,0.13999999999999999,0.335,0.46,0.008000000000000002,416.25,3.304037933599835,-2.5,-18.75,-20,0.9450000000000001,1.03,-0.5249999999999999,10.0,17.0,60.0,94.7,4,6
2013-01-28,-1.075,-1.5,0.07000000000000002,0.6725,0.88,0.06699999999999998,395.75,2.6299556396765835,-0.1,-11.75,-14,1.0425,1.07,-1.7000000000000002,15.0,17.0,90.0,94.7,4,6
2013-01-29,0.39999999999999997,-0.2,-0.4600000000000001,0.02500000000000001,0.28,0.158,350.5,3.415650255319866,-2.2,-5.5,-7,0.6950000000000001,0.81,-1.05,1.5,3.0,9.0,92.6,4,6
2013-01-30,-0.27499999999999997,-0.6,0.19,0.18,0.25,-0.054000000000000006,313.5,3.1091263510296048,-2.4,-11.5,-13,0.645,0.67,-0.75,1.5,3.0,9.0,93.8,4,6
2013-01-31,-2.675,-3.9,0.6699999999999999,1.0325,1.38,0.05499999999999998,327.5,1.2909944487358056,-0.4,2.5,-7,1.955,2.14,-1.7249999999999999,8.5,10.0,51.0,99.7,4,6
2013-02-01,2.35,-0.1,-1.6599999999999997,0.36250000000000004,1.63,0.877,366.5,15.673757260678329,11.6,4.0,-3,2.4050000000000002,4.74,-6.725,18.0,23.0,108.0,100.7,4,6
2013-02-02,0.75,0.1,0.34,0.275,0.51,-0.072,459.25,6.849574196011505,-0.1,-8.25,-11,1.1675,1.44,-2.825,20.0,30.0,120.0,108.6,4,6
2013-02-03,2.225,0.9,-0.57,-0.2075,0.16,0.139,409.0,3.7416573867739413,-2.2,-1.25,-2,2.5175,2.85,-3.2499999999999996,5.0,7.0,30.0,107.9,4,6
2013-02-04,0.20000000000000007,-2.0,-0.5,-0.09,0.55,0.07600000000000001,346.5,3.0,-2.2,13.5,13,3.0275000000000003,3.18,0.12500000000000003,13.0,23.0,78.0,103.7,4,6
2013-02-05,0.575,-2.5,-0.4299999999999999,-0.47,0.56,0.1,333.0,4.320493798938574,-2.8,2.25,2,1.4775,1.84,1.85,0.0,0.0,0.0,102.2,4,6
2013-02-06,-2.55,-4.6,-0.3400000000000001,0.10999999999999999,0.87,0.078,334.75,1.707825127659933,1.1,5.25,4,2.1425,2.28,4.175,8.5,10.0,51.0,100.7,4,6
2013-02-07,2.2750000000000004,1.3,-0.4699999999999999,-1.0325,-0.26,-0.179,368.75,2.0615528128088303,-0.9,-5.25,-8,3.0749999999999997,3.27,1.65,13.0,13.0,78.0,100.0,4,6
2013-02-08,-1.6,-2.9,-0.9,0.135,0.58,0.294,445.5,2.3804761428476167,1.6,-10.5,-11,1.9975,2.07,2.3499999999999996,11.5,13.0,69.0,101.4,4,6
2013-02-09,-1.0750000000000002,-2.2,-0.6300000000000001,-0.6375000000000001,-0.2,0.23499999999999996,402.25,4.856267428111155,-3.7,-2.0,-4,1.8725,1.92,5.3500000000000005,6.5,10.0,39.0,104.8,4,6
2013-02-10,-2.125,-2.4,0.030000000000000072,0.645,0.79,0.02999999999999998,359.5,5.972157622389639,-4.2,-10.25,-13,1.2875,1.42,0.12500000000000003,15.0,20.0,90.0,103.2,4,6
2013-02-11,-0.6,-1.9,0.33999999999999997,0.9049999999999999,1.43,-0.22999999999999998,364.75,4.573474244670748,0.7,-8.25,-11,1.5750000000000002,1.83,-4.025,20.0,20.0,120.0,102.5,4,6
2013-02-12,-1.7,-3.2,1.02,0.775,1.17,-0.298,354.75,4.573474244670748,-2.5,-5.75,-11,1.5575,1.7,-1.375,22.0,27.0,132.0,99.2,4,6
2013-02-13,-2.9749999999999996,-5.8,-2.11,1.5125,2.53,0.585,380.25,12.816005617976296,-2.1,-12.75,-22,3.8225000000000002,4.23,-2.95,38.0,43.0,228.0,97.8,4,6
2013-02-14,-0.95,-1.1,0.03999999999999998,0.01,0.19,0.04,382.75,1.2583057392117916,-0.5,-19.5,-21,1.23,1.29,1.6,21.5,23.0,129.0,97.0,4,6
2013-02-15,-0.44999999999999996,-1.9,-0.21999999999999992,-0.2275,0.13,0.02300000000000002,336.25,5.315072906367325,-3.9,-17.25,-18,1.2075,1.42,2.15,16.5,20.0,99.0,97.7,4,6
2013-02-16,1.1749999999999998,-1.1,-0.18999999999999995,-1.7400000000000002,-0.8,0.426,379.25,11.615363389350618,-5.3,-16.25,-19,2.8575000000000004,3.91,7.125,21.5,33.0,129.0,100.8,4,6
2013-02-17,1.075,-1.5,1.31,-1.1225,-0.29,-0.41100000000000003,352.25,4.7871355387816905,-2.3,-34.5,-40,1.685,1.89,4.525,25.0,30.0,150.0,103.1,4,6
2013-02-18,1.2,-0.9,0.36000000000000004,-0.8175,-0.12,-0.13700000000000007,319.25,5.909032633745278,3.5,-26.25,-31,0.9424999999999999,1.01,3.0250000000000004,21.5,33.0,129.0,102.3,4,6
2013-02-19,-0.7499999999999999,-2.3,-1.14,-0.6675,0.07,0.525,365.0,7.702813338860896,-5.4,-13.0,-14,1.8650000000000002,2.08,4.825,18.5,20.0,111.0,109.9,4,6
2013-02-20,1.925,-0.8,-2.0100000000000002,0.06499999999999995,1.13,0.884,400.25,4.9916597106239795,2.3,-11.0,-14,2.6525,2.91,-3.55,15.0,20.0,90.0,111.0,4,6
2013-02-21,-0.5,-1.7,-0.7599999999999999,0.985,1.56,0.19,392.75,5.852349955359813,2.3,-22.75,-24,2.3425000000000002,2.58,-4.075,18.5,20.0,111.0,106.2,4,6
2013-02-22,-2.625,-3.2,-0.45000000000000007,1.75,1.85,0.09200000000000001,391.25,3.2015621187164243,2.3,-25.25,-31,1.595,1.7,-4.3500000000000005,28.0,33.0,168.0,104.7,4,6
2013-02-23,-1.075,-2.0,-0.31,0.5125,0.76,0.009000000000000008,364.5,4.203173404306164,-3.2,-22.0,-24,1.4174999999999998,1.44,-0.925,23.0,23.0,138.0,97.5,4,6
2013-02-24,1.425,1.2,0.030000000000000006,-0.03,0.03,-0.018,314.75,0.9574271077563381,0.3,-9.75,-13,1.1025,1.13,-2.2249999999999996,5.0,7.0,30.0,93.0,4,6
2013-02-25,0.25,0.0,0.039999999999999994,0.19,0.31,0.046000000000000006,348.0,2.449489742783178,-1.8,6.0,3,3.3475,4.01,-1.45,13.5,17.0,81.0,93.5,4,6
2013-02-26,0.475,-0.4,0.06999999999999998,0.455,0.82,-0.178,307.75,6.3966136874651625,-4.9,-13.0,-16,1.3725,1.67,-3.6,15.0,20.0,90.0,96.8,4,6
2013-02-27,0.02499999999999994,-2.1,-0.39,0.5575,0.98,0.06699999999999999,337.25,1.5,-0.1,1.25,0,2.4425,2.64,-3.225,3.5,7.0,21.0,100.0,4,6
2013-02-28,-4.375,-6.8,0.31000000000000005,1.56,2.39,0.25600000000000006,372.5,9.983319421247959,5.8,-13.5,-24,3.6550000000000002,4.8,-0.8,28.5,40.0,171.0,103.6,4,6
2013-03-01,1.025,-0.6,0.7300000000000001,0.7875,2.02,-0.8230000000000001,621.75,8.99536917900909,-4.7,-47.75,-52,2.4400000000000004,2.61,-4.050000000000001,41.5,43.0,249.0,110.6,4,6
2013-03-02,0.8250000000000001,-0.4,-0.09,0.26749999999999996,0.71,-0.025000000000000012,508.75,5.5,-1.1,-26.5,-30,1.7425000000000002,1.91,-2.325,31.5,33.0,189.0,109.1,4,6
2013-03-03,0.55,0.0,-0.1,0.7350000000000001,1.01,-0.033999999999999996,443.25,10.307764064044152,-7.1,-26.0,-29,0.87,0.97,-4.0,21.5,23.0,129.0,110.1,4,6
2013-03-04,-0.25,-1.0,-0.5,0.52,0.79,0.22199999999999998,400.75,3.593976442141304,-1.7,-18.5,-19,0.9824999999999999,1.03,-2.05,5.0,7.0,30.0,112.4,4,6
2013-03-05,-1.1,-1.9,0.54,0.665,0.77,-0.056000000000000015,345.25,4.193248541803041,-2.3,-8.75,-17,1.4449999999999998,1.53,-1.85,8.5,10.0,51.0,116.6,4,6
2013-03-06,2.4,2.1,-0.14000000000000004,-1.05,-0.41,-0.25,316.75,3.5,-2.1,1.75,-2,1.875,2.2,2.4,3.0,3.0,18.0,112.6,4,6
2013-03-07,0.7,-0.3,0.6399999999999999,-0.73,-0.59,-0.08600000000000002,324.75,1.707825127659933,-1.3,2.75,1,1.64,1.67,3.075,1.5,3.0,9.0,112.1,4,6
2013-03-08,-3.375,-3.8,-0.31000000000000005,0.965,1.09,-0.02400000000000002,333.0,5.715476066494082,3.6,2.25,-1,1.6150000000000002,2.31,-0.07499999999999996,10.0,13.0,60.0,113.3,4,6
2013-03-09,2.35,0.7,0.9399999999999998,-1.2550000000000001,-0.66,-0.27799999999999997,349.25,2.0615528128088303,-0.3,5.0,2,1.975,2.7,2.975,10.0,17.0,60.0,114.6,4,6
2013-03-10,-1.7,-3.4,1.2,0.8775,1.16,-0.175,318.5,3.1091263510296048,-0.8,-2.75,-6,3.2025,3.47,-2.425,15.0,20.0,90.0,117.7,4,6
2013-03-11,0.9500000000000002,-0.4,-0.58,-0.4125,-0.03,0.275,311.75,1.707825127659933,0.1,8.75,7,2.7274999999999996,3.04,0.9750000000000001,3.0,3.0,18.0,118.2,4,6
2013-03-12,-1.2999999999999998,-1.6,0.05999999999999996,0.3875,0.52,-0.061,322.0,2.8284271247461903,1.2,2.25,0,2.71,3.14,-0.22499999999999998,15.0,20.0,90.0,121.5,4,6
2013-03-13,-0.39999999999999997,-2.3,1.1199999999999999,0.525,0.98,-0.288,312.25,2.5,-1.7,8.0,7,2.37,2.46,-2.5,7.0,7.0,42.0,121.5,4,6
2013-03-14,0.7999999999999999,-1.0,0.15999999999999998,-1.475,-1.01,-0.049999999999999975,361.75,9.844626283748239,-5.3,3.25,1,1.6025,1.95,6.325,7.0,7.0,42.0,121.5,4,6
2013-03-15,-2.25,-3.4,-0.72,0.155,0.87,0.33799999999999997,437.25,4.193248541803041,1.5,-2.75,-4,1.3275000000000001,1.38,2.875,6.5,10.0,39.0,121.8,4,6
2013-03-16,-0.04999999999999996,-1.7,0.3599999999999998,0.022499999999999992,0.47,-0.020999999999999984,420.25,4.924428900898052,-3.7,-9.25,-11,1.045,1.07,0.0,15.0,17.0,90.0,124.8,4,6
2013-03-17,2.65,0.7,1.52,-0.21750000000000003,1.07,-1.2289999999999999,594.5,21.855586623714007,7.2,-112.0,-131,2.2600000000000002,2.47,-3.6,63.5,67.0,381.0,124.5,4,6
2013-03-18,4.675,3.4,-0.5900000000000002,-0.965,-0.19,0.38799999999999996,470.75,6.18465843842649,-1.5,-45.75,-47,0.705,0.83,-3.4499999999999997,15.0,17.0,90.0,116.6,4,6
2013-03-19,-1.05,-2.0,-0.36,0.66,1.05,0.118,486.75,7.804912982645397,-2.9,-33.0,-36,1.2624999999999997,1.41,-0.825,22.0,27.0,132.0,109.5,4,6
2013-03-20,-2.75,-6.1,-2.8599999999999994,2.5149999999999997,4.1,0.5319999999999999,515.5,12.793227374930325,5.4,-39.25,-48,1.5825,2.44,-4.6499999999999995,30.0,33.0,180.0,106.7,4,6
2013-03-21,4.575,3.8,-0.02999999999999998,-2.55,-2.37,-0.022000000000000065,441.0,4.760952285695233,-3.2,-24.0,-28,1.23,1.34,3.55,8.5,10.0,51.0,105.3,4,6
2013-03-22,0.7,-0.6,0.42000000000000004,-0.1925,0.42,-0.10900000000000001,377.0,7.164728420068226,1.0,-19.75,-21,1.2875,1.39,-0.15000000000000005,21.5,23.0,129.0,100.2,4,6
2013-03-23,2.475,0.3,-1.4700000000000002,-0.9125000000000001,-0.12,0.529,413.75,7.41057802513857,5.5,-5.5,-13,6.715,8.48,0.25,36.5,40.0,219.0,97.6,4,6
2013-03-24,0.575,-0.7,0.63,-0.865,-0.46,-0.17799999999999996,385.5,1.2909944487358056,-0.4,-15.5,-17,1.0825,1.12,3.25,6.5,10.0,39.0,95.4,4,6
