FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2013-11-17,449.5,0.3349999999999999,40.19999999999999,8.883333333333333,-1.200000000000001,-0.01,9.3,8.1,1.200000000000001,9,0.0,0.0,True,2013-11-17 17:00:00,2013-11-17 19:00:00,120.0,9,-0.375,-0.9,0.2299999999999999,0.13,0.35,-0.094,427.5,3.696845502136472,-1.6,-10.5,-12,0.9325,0.98,-0.75,13.0,13.0,78.0,172.9,4,6
2013-11-18,351.7,-0.1041666666666666,-12.5,7.76111111111111,-3.6000000000000005,-0.03,8.9,5.3,3.6000000000000005,9,0.0,0.0,True,2013-11-18 17:00:00,2013-11-18 19:00:00,120.0,9,0.9000000000000001,0.0,-0.4800000000000001,-0.35,0.0,0.168,373.0,15.297058540778355,2.2,-0.5,-2,0.53,0.62,0.05,0.0,0.0,0.0,159.5,4,6
2013-11-19,450.4,0.5891666666666666,70.69999999999999,9.811111111111112,-1.0999999999999996,-0.0091666666666666,10.6,8.9,1.6999999999999993,9,0.0,0.0,True,2013-11-19 17:00:00,2013-11-19 19:00:00,120.0,9,-1.3250000000000002,-3.7,-0.91,0.4599999999999999,1.39,0.364,390.25,4.716990566028302,-0.7,-3.25,-4,1.115,1.17,-2.225,15.0,20.0,90.0,149.3,4,6
2013-11-20,465.5,0.6716666666666669,80.60000000000002,8.52222222222222,-0.8999999999999995,-0.0074999999999999,8.7,7.8,0.8999999999999995,9,0.0,0.0,True,2013-11-20 17:00:00,2013-11-20 19:00:00,120.0,9,1.0,0.4,-0.42,-0.4075,-0.19,0.155,379.0,2.8284271247461903,-1.6,-5.5,-6,0.7074999999999999,0.78,-1.25,1.5,3.0,9.0,143.5,4,6
2013-11-21,444.5,-0.39,-46.80000000000001,8.544444444444444,-3.4000000000000004,-0.0283333333333333,10.3,6.9,3.4000000000000004,9,0.0,0.0,True,2013-11-21 17:00:00,2013-11-21 19:00:00,120.0,9,-1.8,-2.3,0.04,0.555,0.73,-0.016,321.75,7.41057802513857,-5.5,-5.0,-7,0.585,0.65,-1.65,5.0,7.0,30.0,137.8,4,6
2013-11-22,428.2,0.4091666666666664,49.099999999999966,8.36111111111111,-0.450000000000001,-0.00375,8.65,8.1,0.5500000000000007,9,0.0,0.0,True,2013-11-22 17:00:00,2013-11-22 19:00:00,120.0,9,0.8,-1.0,0.7000000000000001,-0.25,0.27,-0.198,297.5,3.1091263510296048,0.4,-2.0,-3,0.74,0.88,-1.15,10.0,10.0,60.0,139.2,4,6
2013-11-23,452.4,0.600833333333333,72.09999999999997,9.422222222222224,0.0,0.0,9.5,9.3,0.1999999999999993,9,0.0,0.0,True,2013-11-23 17:00:00,2013-11-23 19:00:00,120.0,9,0.35,-1.2,-0.98,-0.0974999999999999,0.39,0.301,310.5,24.03469714114714,15.8,-8.0,-9,0.7849999999999999,0.88,-1.0750000000000002,5.0,10.0,30.0,132.2,4,6
2013-11-24,472.9,0.5333333333333333,64.0,10.911111111111111,-0.9000000000000004,-0.0075,11.3,10.2,1.1000000000000014,9,0.0,0.0,True,2013-11-24 17:00:00,2013-11-24 19:00:00,120.0,9,-0.375,-1.1,-0.27,0.115,0.34,0.084,304.25,3.095695936834452,2.1,-4.25,-6,0.48,0.52,-1.225,0.0,0.0,0.0,123.9,4,6
2013-11-25,417.8,0.4224999999999999,50.69999999999999,10.838888888888889,1.0,0.0083333333333333,11.5,10.1,1.4000000000000004,9,0.0,0.0,True,2013-11-25 17:00:00,2013-11-25 19:00:00,120.0,9,-0.0249999999999999,-0.7,-0.55,0.0025,0.21,0.1709999999999999,307.0,9.345230512584124,-7.2,2.5,1,0.575,0.74,-1.85,0.0,0.0,0.0,116.0,4,6
2013-11-26,382.6,-0.1716666666666668,-20.600000000000023,9.27777777777778,0.450000000000001,0.00375,9.5,8.95,0.5500000000000007,9,0.0,0.0,True,2013-11-26 17:00:00,2013-11-26 19:00:00,120.0,9,2.175,1.4,-0.2699999999999999,-0.685,-0.46,0.0779999999999999,310.25,3.095695936834452,-2.1,15.0,11,1.54,1.79,-1.625,5.0,7.0,30.0,112.4,4,6
