FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY
2012-12-31,,,,,,,,,0,,,False,,,312.9,,,,9.4,,,1,60.0,0.0,False,,9.4
2013-01-01,,336.8,,,,11.7,,,1,15.0,-45.0,False,,,,,,,,,,0,15.0,0.0,False,,11.133333333333333
2013-01-02,,339.2,,,,9.7,,,1,15.0,-45.0,False,,,,,,,,,,0,15.0,0.0,False,,10.24
2013-01-03,,,,,,,,,0,30.0,0.0,False,,22.19999999999999,388.2,0.36999999999999983,-0.5,-0.008333333333333333,11.5,11.0,0.5,5,0.0,0.0,True,60.0,11.357142857142858
2013-01-04,,,,,,,,,0,15.0,-15.0,False,,,,,,,,,,0,15.0,0.0,False,,11.566666666666668
2013-01-05,,355.3,,,,9.3,,,1,60.0,0.0,False,,20.099999999999966,375.4,0.3349999999999994,0.3999999999999986,0.006666666666666643,9.7,9.3,0.3999999999999986,5,0.0,0.0,True,60.0,9.5
2013-01-06,,429.0,,,,10.3,,,1,30.0,-30.0,False,,,,,,,,,,0,15.0,0.0,False,,10.540000000000001
2013-01-07,,,,,,,,,0,0.0,-15.0,False,,,,,,,,,,0,15.0,0.0,False,,11.3125
2013-01-08,8.5,444.7,0.15454545454545454,-1.5,-0.02727272727272727,10.5,9.0,1.5,8,0.0,-4.999999999999929,True,55.0,-100.19999999999999,441.3,-1.5415384615384613,-3.4000000000000004,-0.05230769230769231,9.0,5.6,3.4000000000000004,13,-4.999999999999929,0.0,True,65.0,8.507499999999999
2013-01-09,-5.699999999999989,345.5,-0.08769230769230751,-0.5,-0.007692307692307693,11.7,,,2,0.0,4.999999999999929,True,65.0,34.89999999999998,374.7,0.6345454545454541,-0.7999999999999989,-0.014545454545454526,11.4,10.4,1.0,12,4.999999999999929,0.0,True,55.0,11.0
