FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2013-01-14,460.4,0.5624000000000001,70.30000000000001,10.95,-2.0,-0.016,11.5,9.5,2.0,16,-4.999999999999929,0.0,True,2013-01-14 16:55:00,2013-01-14 19:00:00,125.0,16,0.525,-0.5,0.01,-0.4725,-0.05,0.1049999999999999,507.75,8.80814017448254,-6.5,-5.25,-6,0.8775,0.98,1.275,18.5,20.0,111.0,149.1,4,6
2013-01-15,435.0,0.5544000000000001,69.30000000000001,10.657894736842104,-1.5,-0.012,11.4,9.5,1.9000000000000004,19,-4.999999999999929,0.0,True,2013-01-15 16:55:00,2013-01-15 19:00:00,125.0,19,1.125,-0.4,-0.65,-0.7999999999999999,-0.21,0.2959999999999999,434.0,14.854853303438128,-10.2,-4.0,-7,1.0,1.08,2.25,8.0,13.0,48.0,135.2,4,6
2013-01-16,363.5,0.0939130434782609,10.800000000000011,10.292307692307691,-0.9000000000000004,-0.0078260869565217,10.7,9.5,1.1999999999999993,13,0.0,-4.999999999999929,True,2013-01-16 17:00:00,2013-01-16 18:55:00,115.0,13,1.5,0.3,0.8399999999999999,0.1249999999999999,0.57,-0.384,399.5,5.802298395176403,-4.0,3.25,-1,2.43,5.03,-4.725,21.5,23.0,129.0,132.6,4,6
2013-01-17,386.1,0.2834782608695654,32.60000000000002,9.988888888888887,-0.4000000000000003,-0.0034782608695652,10.4,9.5,0.9000000000000004,9,4.999999999999929,0.0,True,2013-01-17 17:05:00,2013-01-17 19:00:00,115.0,9,-1.35,-2.8,1.0,2.17,2.71,-0.418,373.0,8.04155872120988,-4.6,-51.5,-52,0.1725,0.37,-12.425,28.5,30.0,171.0,118.8,4,6
2013-01-18,349.9,0.0478260869565217,5.5,10.244444444444444,1.0,0.008695652173913,10.5,9.5,1.0,9,4.999999999999929,0.0,True,2013-01-18 17:05:00,2013-01-18 19:00:00,115.0,9,1.0,-0.9,-0.02,0.0125,0.76,0.0629999999999999,441.75,2.753785273643051,-2.1,0.0,-15,6.890000000000001,12.38,-2.625,25.0,30.0,150.0,111.5,4,6
2013-01-19,391.6,0.4316666666666667,51.80000000000001,8.192647058823532,0.6000000000000005,0.005,8.4,7.7,0.7000000000000002,17,0.0,0.0,True,2013-01-19 17:00:00,2013-01-19 19:00:00,120.0,17,-4.550000000000001,-6.9,-1.1200000000000003,1.405,2.32,0.422,434.75,2.6299556396765835,1.9,-12.5,-19,2.89,4.03,2.6,23.5,27.0,141.0,103.3,4,6
2013-01-20,407.5,0.2391304347826087,27.5,8.90625,-0.3000000000000007,-0.0026086956521739,9.15,8.5,0.6500000000000004,16,4.999999999999929,0.0,True,2013-01-20 17:05:00,2013-01-20 19:00:00,115.0,16,-1.0,-2.4,-0.92,0.25,0.77,0.2179999999999999,387.0,1.4142135623730951,-0.6,-10.25,-12,1.12,1.19,0.725,5.0,7.0,30.0,103.2,4,6
2013-01-21,446.8,-0.3208333333333333,-38.5,7.6175000000000015,-3.0,-0.025,9.9,6.9,3.0,20,0.0,0.0,True,2013-01-21 17:00:00,2013-01-21 19:00:00,120.0,20,-0.35,-1.4,0.4999999999999999,0.22,0.57,-0.1279999999999999,348.25,5.737304826019502,-4.3,-8.0,-10,1.1075,1.15,-0.75,6.5,10.0,39.0,104.9,4,6
2013-01-22,439.6,0.4416666666666666,53.0,9.65,-3.75,-0.03125,11.25,7.5,3.75,9,0.0,0.0,True,2013-01-22 17:00:00,2013-01-22 19:00:00,120.0,9,0.475,-0.1,-0.1299999999999999,0.04,0.24,0.0359999999999999,309.75,2.9860788111948198,-2.3,0.25,-1,0.9775,1.08,-1.4,0.0,0.0,0.0,106.9,4,6
2013-01-23,445.3,0.7974999999999999,95.7,10.7125,-3.1,-0.0258333333333333,11.7,8.3,3.3999999999999986,8,0.0,0.0,True,2013-01-23 17:00:00,2013-01-23 19:00:00,120.0,8,-2.075,-2.6,-0.49,0.7975,0.9,0.0249999999999999,287.25,3.304037933599835,-2.3,-4.0,-7,1.0325,1.08,-2.15,1.5,3.0,9.0,101.6,4,6
