FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2013-01-12,,,,,,,,,0,10.000000000000073,4.999999999999929,False,,57.89999999999998,427.2,1.0527272727272723,-0.8000000000000007,-0.0145454545454545,11.5,10.7,0.8000000000000007,12,4.999999999999929,0.0,True,55.0,11.185714285714283,-0.4749999999999998,-4.1,-1.99,-0.255,1.5,0.912,384.5,7.416198487095663,-3.6,5.0,3,1.945,2.04,3.325,6.5,10.0,39.0,163.0,4,6
2013-01-13,,,,,,,,,0,64.99999999999993,4.999999999999929,False,,38.5,472.9,0.7,-1.549999999999999,-0.0281818181818181,10.45,8.9,1.549999999999999,12,4.999999999999929,0.0,True,55.0,9.6125,-0.425,-4.0,0.2700000000000001,0.1524999999999999,2.3,-0.3269999999999999,492.75,7.544313531837517,-1.7,-13.0,-18,2.5525,2.66,0.125,32.0,37.0,192.0,151.4,4,6
2013-01-14,30.5,407.7,0.4357142857142857,-0.0999999999999996,-0.0014285714285714,11.5,11.3,0.1999999999999993,5,-4.999999999999929,4.999999999999929,True,70.0,39.80000000000001,460.4,0.7236363636363639,-1.9000000000000004,-0.0345454545454545,11.4,9.5,1.9000000000000004,12,4.999999999999929,0.0,True,55.0,10.913333333333334,0.525,-0.5,0.01,-0.4725,-0.05,0.1049999999999999,507.75,8.80814017448254,-6.5,-5.25,-6,0.8775,0.98,1.275,18.5,20.0,111.0,149.1,4,6
2013-01-15,18.19999999999999,383.9,0.2599999999999998,-0.5999999999999996,-0.0085714285714285,11.4,10.8,0.5999999999999996,8,-4.999999999999929,4.999999999999929,True,70.0,51.10000000000002,435.0,0.9290909090909096,-0.9000000000000004,-0.0163636363636363,10.8,9.5,1.3000000000000007,12,4.999999999999929,0.0,True,55.0,10.616666666666667,1.125,-0.4,-0.65,-0.7999999999999999,-0.21,0.2959999999999999,434.0,14.854853303438128,-10.2,-4.0,-7,1.0,1.08,2.25,8.0,13.0,48.0,135.2,4,6
2013-01-16,,,,,,,,,0,0.0,10.000000000000073,False,,,,,,,,,,0,10.000000000000073,-4.999999999999929,False,,10.292307692307691,1.5,0.3,0.8399999999999999,0.1249999999999999,0.57,-0.384,399.5,5.802298395176403,-4.0,3.25,-1,2.43,5.03,-4.725,21.5,23.0,129.0,132.6,4,6
2013-01-17,,,,,,,,,0,4.999999999999929,-49.99999999999993,False,,,,,,,,,,0,30.0,0.0,False,,9.988888888888887,-1.35,-2.8,1.0,2.17,2.71,-0.418,373.0,8.04155872120988,-4.6,-51.5,-52,0.1725,0.37,-12.425,28.5,30.0,171.0,118.8,4,6
2013-01-18,,344.4,,,,9.5,,,1,4.999999999999929,-55.00000000000007,False,,,,,,,,,,0,15.0,0.0,False,,10.244444444444444,1.0,-0.9,-0.02,0.0125,0.76,0.0629999999999999,441.75,2.753785273643051,-2.1,0.0,-15,6.890000000000001,12.38,-2.625,25.0,30.0,150.0,111.5,4,6
2013-01-19,21.5,364.3,0.3307692307692307,0.6249999999999991,0.0096153846153846,8.325,7.7,0.6249999999999991,6,0.0,4.999999999999929,True,65.0,30.30000000000001,391.6,0.5509090909090911,-0.0249999999999985,-0.0004545454545454,8.4,8.3,0.0999999999999996,12,4.999999999999929,0.0,True,55.0,8.192647058823532,-4.550000000000001,-6.9,-1.1200000000000003,1.405,2.32,0.422,434.75,2.6299556396765835,1.9,-12.5,-19,2.89,4.03,2.6,23.5,27.0,141.0,103.3,4,6
2013-01-20,-11.5,384.8,-0.1916666666666666,0.25,0.0041666666666666,9.1,8.8,0.2999999999999989,5,4.999999999999929,4.999999999999929,True,60.0,39.0,407.5,0.7090909090909091,-0.5500000000000007,-0.01,9.15,8.5,0.6500000000000004,12,4.999999999999929,0.0,True,55.0,8.90625,-1.0,-2.4,-0.92,0.25,0.77,0.2179999999999999,387.0,1.4142135623730951,-0.6,-10.25,-12,1.12,1.19,0.725,5.0,7.0,30.0,103.2,4,6
2013-01-21,-69.90000000000003,446.8,-1.0753846153846158,-2.5500000000000007,-0.0392307692307692,9.9,7.35,2.5500000000000007,9,0.0,4.999999999999929,True,65.0,31.400000000000038,408.3,0.5709090909090915,-0.4499999999999993,-0.0081818181818181,7.35,6.9,0.4499999999999993,12,4.999999999999929,0.0,True,55.0,7.6175000000000015,-0.35,-1.4,0.4999999999999999,0.22,0.57,-0.1279999999999999,348.25,5.737304826019502,-4.3,-8.0,-10,1.1075,1.15,-0.75,6.5,10.0,39.0,104.9,4,6
