FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,S4_STD,S4_MIN,TOTAL_MEDICIONES,PORCENTAJE_CENTELLEO,HORA_PICO,PRN_PICO
2014-01-01,486.4,0.6816666666666663,81.79999999999995,11.13888888888889,-1.6999999999999993,-0.0141666666666666,11.7,10.0,1.6999999999999993,9.0,0.0,0.0,True,2014-01-01 17:00:00,2014-01-01 19:00:00,120.0,9.0,2.05,0.9,0.2199999999999999,-1.57,-0.99,0.0539999999999999,546.0,11.16542281629615,7.2,-17.5,-25.0,3.4599999999999995,3.78,3.5250000000000004,30.0,30.0,180.0,154.3,4.0,6.0,0.0,0.0,0.32,0.094,0.042,0.03,2220.0,0.0,2014-01-01 20:15:16,3.0
2014-01-02,432.4,0.2699999999999998,32.39999999999998,11.566666666666666,-1.200000000000001,-0.01,12.4,9.3,3.1,9.0,0.0,0.0,True,2014-01-02 17:00:00,2014-01-02 19:00:00,120.0,9.0,5.551115123125783e-17,-1.7,-0.8,-0.2525,0.8,0.483,619.75,4.924428900898052,-2.1,-13.25,-16.0,2.785,3.05,1.4500000000000002,33.0,43.0,198.0,155.2,4.0,6.0,0.0,0.0,0.22,0.074,0.032,0.02,2239.0,0.0,2014-01-02 21:09:16,138.0
2014-01-03,461.4,0.599166666666667,71.90000000000003,10.944444444444445,-2.2,-0.0183333333333333,11.6,9.4,2.2,9.0,0.0,0.0,True,2014-01-03 17:00:00,2014-01-03 19:00:00,120.0,9.0,0.55,-0.3,0.34,-0.3025,0.1,-0.127,491.25,14.795832746644123,-11.3,-19.5,-24.0,0.9075,1.17,0.325,18.5,27.0,111.0,176.3,4.0,6.0,0.0,0.0,0.3,0.096,0.041,0.02,2252.0,0.0,2014-01-03 20:57:16,22.0
2014-01-04,361.2,0.6724999999999999,80.69999999999999,8.255555555555555,1.4000000000000004,0.0116666666666666,11.2,6.4,4.799999999999999,9.0,0.0,0.0,True,2014-01-04 17:00:00,2014-01-04 19:00:00,120.0,9.0,1.025,0.8,0.07,-0.75,-0.74,-0.008,485.0,12.138094304022085,-8.2,-11.25,-14.0,1.3,1.36,2.025,16.5,20.0,99.0,253.3,4.0,6.0,0.0,0.0,0.37,0.098,0.053,0.03,2260.0,0.0,2014-01-04 20:03:16,14.0
2014-01-05,350.5,0.2041666666666666,24.5,7.288888888888888,-2.499999999999999,-0.0208333333333333,9.7,5.8,3.9,9.0,0.0,0.0,True,2014-01-05 17:00:00,2014-01-05 19:00:00,120.0,9.0,0.5,-0.3,0.52,-0.415,-0.12,-0.16,403.25,4.99165971062398,1.9,-8.25,-10.0,0.7,0.75,1.9,1.5,3.0,9.0,210.3,4.0,6.0,0.0,0.0,0.26,0.081,0.036,0.02,2270.0,0.0,2014-01-05 20:15:16,14.0
2014-01-06,401.6,0.3075000000000003,36.900000000000034,10.644444444444446,-0.9000000000000004,-0.0075,11.1,9.5,1.5999999999999996,9.0,0.0,0.0,True,2014-01-06 17:00:00,2014-01-06 19:00:00,120.0,9.0,-1.5,-2.3,-0.1,0.5225,0.74,-0.015,354.5,3.872983346207417,2.4,-9.5,-10.0,0.7150000000000001,0.78,-0.15,13.0,13.0,78.0,197.2,4.0,6.0,0.0,0.0,0.26,0.076,0.036,0.02,2278.0,0.0,2014-01-06 19:51:16,14.0
2014-01-07,453.1,0.0291666666666666,3.5,9.18888888888889,-2.7,-0.0225,10.1,7.3,2.8,9.0,0.0,0.0,True,2014-01-07 17:00:00,2014-01-07 19:00:00,120.0,9.0,-2.525,-3.1,-0.4699999999999999,0.7325,1.01,0.247,377.0,3.4641016151377544,-2.4,1.25,-1.0,2.7275,3.14,1.475,25.0,27.0,150.0,229.3,4.0,6.0,0.0,0.0,0.26,0.088,0.04,0.02,2286.0,0.0,2014-01-07 19:57:16,14.0
2014-01-09,454.5,1.54,184.8,8.377777777777778,2.0,0.0166666666666666,10.5,6.3,4.2,9.0,0.0,0.0,True,2014-01-09 17:00:00,2014-01-09 19:00:00,120.0,9.0,2.375,1.2,0.2700000000000001,-1.3575,-0.2,-0.683,420.5,18.119970566569176,13.8,4.5,3.0,2.5375,2.95,2.75,22.0,27.0,132.0,178.1,4.0,6.0,1.0,1.0,0.42,0.105,0.054,0.02,2099.0,0.05,2014-01-09 20:17:15,22.0
2014-01-10,461.0,0.2883333333333335,34.60000000000002,9.866666666666667,-1.0,-0.0083333333333333,10.4,9.2,1.200000000000001,9.0,0.0,0.0,True,2014-01-10 17:00:00,2014-01-10 19:00:00,120.0,9.0,3.0,1.9,0.56,-1.0174999999999998,-0.71,0.1609999999999999,412.25,9.776672917374976,6.7,-3.0,-4.0,1.0775,1.38,-1.15,5.0,7.0,30.0,169.4,4.0,6.0,0.0,0.0,0.26,0.094,0.042,0.03,2318.0,0.0,2014-01-10 21:50:15,11.0
2014-01-13,453.7,-0.8258333333333331,-99.09999999999997,9.033333333333331,-5.8,-0.0483333333333333,11.7,5.8,5.9,9.0,0.0,0.0,True,2014-01-13 17:00:00,2014-01-13 19:00:00,120.0,9.0,0.1250000000000001,-2.9,-1.31,0.5875,2.47,0.8550000000000001,657.75,21.86892772862904,16.5,-6.25,-10.0,0.94,1.41,-2.85,5.0,10.0,30.0,138.7,4.0,6.0,0.0,0.0,0.24,0.083,0.035,0.03,2346.0,0.0,2014-01-13 22:34:15,1.0
2014-01-14,440.7,0.3391666666666665,40.69999999999999,11.466666666666669,-3.1,-0.0258333333333333,12.5,9.3,3.2,9.0,0.0,0.0,True,2014-01-14 17:00:00,2014-01-14 19:00:00,120.0,9.0,-0.075,-0.7,0.05,0.3074999999999999,0.74,0.0349999999999999,615.75,3.4034296427770228,-2.5,-7.75,-10.0,1.0575,1.31,-1.225,20.0,27.0,120.0,132.6,4.0,6.0,0.0,0.0,0.33,0.093,0.046,0.03,2358.0,0.0,2014-01-14 22:38:15,1.0
2014-01-15,367.7,0.7349999999999999,88.19999999999999,6.955555555555555,-0.4000000000000003,-0.0033333333333333,7.2,6.3,0.9000000000000004,9.0,0.0,0.0,True,2014-01-15 17:00:00,2014-01-15 19:00:00,120.0,9.0,0.175,-0.4,0.41,0.0324999999999999,0.18,-0.093,433.25,6.849574196011505,-4.7,-7.75,-8.0,0.4325,0.48,-0.7,3.0,3.0,18.0,122.1,4.0,6.0,0.0,0.0,0.34,0.105,0.051,0.03,2372.0,0.0,2014-01-15 19:27:15,14.0
2014-01-17,395.5,0.4133333333333335,49.60000000000002,11.283333333333331,0.1500000000000003,0.00125,11.6,10.9,0.6999999999999993,9.0,0.0,0.0,True,2014-01-17 17:00:00,2014-01-17 19:00:00,120.0,9.0,-0.95,-1.8,-0.5,0.665,0.92,0.1399999999999999,340.25,4.112987559751022,-2.1,-4.25,-7.0,0.795,0.91,-2.875,10.0,17.0,60.0,124.7,4.0,6.0,0.0,0.0,0.29,0.085,0.041,0.02,2390.0,0.0,2014-01-17 22:36:15,3.0
2014-01-18,439.5,0.3791666666666666,45.5,10.183333333333334,-1.3499999999999996,-0.0112499999999999,10.75,9.3,1.4499999999999993,9.0,0.0,0.0,True,2014-01-18 17:00:00,2014-01-18 19:00:00,120.0,9.0,-0.3249999999999999,-1.0,-0.05,-0.1975,0.0,0.053,329.0,3.559026084010437,-2.6,13.25,12.0,2.225,2.47,2.35,5.0,10.0,30.0,125.5,4.0,6.0,0.0,0.0,0.26,0.068,0.029,0.03,2389.0,0.0,2014-01-18 19:55:15,22.0
2014-01-19,380.8,0.0083333333333333,1.0,11.666666666666666,-2.799999999999999,-0.0233333333333333,12.3,9.4,2.9000000000000004,9.0,0.0,0.0,True,2014-01-19 17:00:00,2014-01-19 19:00:00,120.0,9.0,0.8500000000000001,0.5,-0.02,-0.3025,0.06,-0.1109999999999999,283.0,2.160246899469287,1.6,-0.25,-1.0,0.795,0.82,0.7,0.0,0.0,0.0,123.4,4.0,6.0,0.0,0.0,0.31,0.095,0.044,0.03,2388.0,0.0,2014-01-19 22:03:15,23.0
2014-01-20,468.7,0.7141666666666666,85.69999999999999,10.494444444444444,-1.5999999999999996,-0.0133333333333333,11.0,9.3,1.6999999999999993,9.0,0.0,0.0,True,2014-01-20 17:00:00,2014-01-20 19:00:00,120.0,9.0,-1.2000000000000002,-2.6,-0.32,0.2475,0.72,-0.035,318.25,6.701989754294367,4.9,6.5,5.0,1.8075,2.45,0.85,5.0,7.0,30.0,133.0,4.0,6.0,0.0,0.0,0.22,0.073,0.032,0.03,2385.0,0.0,2014-01-20 19:30:15,14.0
2014-01-21,459.5,0.5808333333333332,69.69999999999999,11.480000000000002,-1.25,-0.0104166666666666,12.55,7.45,5.1000000000000005,25.0,0.0,0.0,True,2014-01-21 17:00:00,2014-01-21 19:00:00,120.0,25.0,-0.1999999999999999,-1.4,-0.02,-1.1800000000000002,-0.7,0.0579999999999999,459.0,14.11854572303158,10.2,-7.25,-9.0,1.0475,1.28,7.199999999999999,18.5,20.0,111.0,141.4,4.0,6.0,0.0,0.0,0.37,0.089,0.047,0.02,2379.0,0.0,2014-01-21 23:40:15,32.0
2014-01-22,441.1,0.2366666666666669,28.40000000000004,9.852,-1.5,-0.0125,10.8,9.25,1.5500000000000007,25.0,0.0,0.0,True,2014-01-22 17:00:00,2014-01-22 19:00:00,120.0,25.0,1.05,-0.3,-0.1,-1.2049999999999998,-0.8,-0.06,475.0,30.994623189622207,-22.8,-5.5,-6.0,1.48,1.57,4.05,22.0,27.0,132.0,138.9,4.0,6.0,1.0,1.0,0.4,0.092,0.045,0.03,2373.0,0.04,2014-01-22 19:36:16,22.0
2014-01-23,446.0,0.0533333333333336,6.400000000000034,9.49,-2.85,-0.0237499999999999,11.0,7.2,3.8,25.0,0.0,0.0,True,2014-01-23 17:00:00,2014-01-23 19:00:00,120.0,25.0,-2.65,-3.0,-0.24,0.5974999999999999,0.9,0.119,370.75,3.593976442141304,-0.7,-13.5,-16.0,0.505,0.61,2.075,18.5,20.0,111.0,132.1,4.0,6.0,0.0,0.0,0.31,0.092,0.041,0.03,2366.0,0.0,2014-01-23 23:28:16,32.0
2014-01-24,433.8,-0.1741666666666669,-20.90000000000004,9.558,-2.8000000000000007,-0.0233333333333333,11.0,8.2,2.8000000000000007,25.0,0.0,0.0,True,2014-01-24 17:00:00,2014-01-24 19:00:00,120.0,25.0,0.8999999999999999,-0.7,-0.7,-0.1625,0.71,0.407,365.25,6.4485140407177015,2.7,1.25,-1.0,1.13,1.24,-0.925,1.5,3.0,9.0,131.3,4.0,6.0,0.0,0.0,0.18,0.071,0.025,0.03,2357.0,0.0,2014-01-24 22:55:16,13.0
2014-01-25,440.6,-0.1850000000000004,-22.200000000000045,9.04,-1.5999999999999996,-0.0133333333333333,10.4,8.0,2.4000000000000004,25.0,0.0,0.0,True,2014-01-25 17:00:00,2014-01-25 19:00:00,120.0,25.0,-4.4,-5.5,0.86,1.2675,1.9,-0.589,358.5,8.34665601703261,-6.2,-17.5,-21.0,1.0725,1.11,1.225,23.5,30.0,141.0,129.1,4.0,6.0,0.0,0.0,0.21,0.06,0.027,0.02,2351.0,0.0,2014-01-25 20:23:16,14.0
2014-01-26,424.3,-0.9933333333333332,-119.2,7.15625,-4.6000000000000005,-0.0383333333333333,10.4,4.3,6.1000000000000005,24.0,0.0,0.0,True,2014-01-26 17:00:00,2014-01-26 19:00:00,120.0,24.0,-0.575,-2.3,1.2899999999999998,-0.1275,0.65,-0.5450000000000002,357.5,8.426149773176359,-4.8,-2.25,-5.0,0.8099999999999999,0.87,2.2,13.0,13.0,78.0,133.7,4.0,6.0,0.0,0.0,0.2,0.071,0.03,0.02,2343.0,0.0,2014-01-26 21:32:16,6.0
2014-01-27,469.7,0.1074999999999998,12.899999999999975,9.390909090909089,-3.3000000000000007,-0.0275,12.1,8.0,4.1,22.0,0.0,0.0,True,2014-01-27 17:00:00,2014-01-27 19:00:00,120.0,22.0,1.25,-2.0,0.9,-0.78,0.32,-0.398,321.25,2.8722813232690143,-1.9,-3.25,-4.0,1.12,1.38,3.1,12.0,17.0,72.0,139.6,4.0,6.0,0.0,0.0,0.38,0.107,0.05,0.03,2335.0,0.0,2014-01-27 20:29:16,11.0
2014-01-28,454.3,-0.0708333333333333,-8.5,11.168,-3.0,-0.025,12.4,9.4,3.0,25.0,0.0,0.0,True,2014-01-28 17:00:00,2014-01-28 19:00:00,120.0,25.0,-1.5750000000000002,-4.7,2.77,-0.59,0.4,-0.8399999999999999,415.75,35.245567097154215,26.1,-11.25,-12.0,0.965,1.17,6.45,21.5,23.0,129.0,152.5,4.0,6.0,1.0,1.0,0.4,0.102,0.055,0.02,2327.0,0.04,2014-01-28 20:14:16,14.0
2014-01-29,474.3,-0.4691666666666668,-56.30000000000001,10.304,-5.4,-0.045,12.6,7.2,5.4,25.0,0.0,0.0,True,2014-01-29 17:00:00,2014-01-29 19:00:00,120.0,25.0,-2.075,-4.0,1.15,0.4399999999999999,1.41,-0.622,394.25,8.139410298049853,-2.7,-5.0,-6.0,0.76,0.8,1.7999999999999998,13.0,13.0,78.0,151.8,4.0,6.0,1.0,1.0,0.4,0.099,0.045,0.02,2319.0,0.04,2014-01-29 21:24:16,1.0
2014-01-30,419.3,-0.5191666666666668,-62.30000000000001,8.804,-2.7,-0.0225,9.9,7.2,2.7,25.0,0.0,0.0,True,2014-01-30 17:00:00,2014-01-30 19:00:00,120.0,25.0,0.675,0.2,-0.2299999999999999,-0.915,-0.8,0.026,351.5,4.654746681256314,-2.4,-5.75,-8.0,0.1875,0.21,4.625,1.5,3.0,9.0,155.8,4.0,6.0,0.0,0.0,0.35,0.107,0.053,0.03,2310.0,0.0,2014-01-30 22:47:16,32.0
2014-01-31,460.5,0.8699999999999998,104.39999999999998,11.726,-0.7000000000000011,-0.0058333333333333,12.5,9.3,3.2,25.0,0.0,0.0,True,2014-01-31 17:00:00,2014-01-31 19:00:00,120.0,25.0,-0.75,-1.0,0.16,-0.3075,-0.23,-0.0289999999999999,323.0,4.69041575982343,-3.6,-1.0,-3.0,0.8425,0.92,3.725,1.5,3.0,9.0,160.9,4.0,6.0,1.0,3.0,0.46,0.119,0.062,0.02,2299.0,0.13,2014-01-31 20:07:16,14.0
2014-02-01,433.9,0.0858333333333334,10.300000000000011,9.08,-1.6000000000000014,-0.0133333333333333,9.8,8.2,1.6000000000000014,25.0,0.0,0.0,True,2014-02-01 17:00:00,2014-02-01 19:00:00,120.0,25.0,-0.15,-1.9,0.4199999999999999,0.5925,1.21,-0.175,360.0,7.071067811865476,3.0,-3.75,-6.0,1.8875,1.98,-3.4,20.0,27.0,120.0,171.6,4.0,6.0,1.0,23.0,0.72,0.112,0.076,0.02,2288.0,1.01,2014-02-01 22:43:16,20.0
